unit,load_min,load_2,load_3,load_4,load_max,load_total,min_gen_perc,heat_rate(load_min),heat_rate(load_2),heat_rate(load_3),heat_rate(load_4),heat_rate(load_max),a4,a3,a2,a1,a0,unit_type,fuel_type,group_type,source
1001_1,235.875,302.24375,368.6125,434.98125,501.35,2938224.575,0.470479705,10.91776092,10.46521798,10.23358772,10.3380661,10.38907685,-1.084E-09,1.52009E-06,-0.000754314,0.153027787,0.196889621,Tangentially-fired,Coal,Boiler (Coal),Fit
1001_2,286.75,343.175,399.6,456.025,512.45,1796227.9,0.559566787,10.08268144,10.84064931,10.51527951,10.49778049,10.50011695,-6.90266E-09,1.15449E-05,-0.007156448,1.946054821,-185.0451415,Tangentially-fired,Coal,Boiler (Coal),Fit
1001_4,52.965,66.20625,79.4475,92.68875,105.93,7515.252,0.5,15.5218017,14.37106687,13.57603957,13.0189088,12.51577563,-8.95767E-08,1.76367E-05,-0.000117062,-0.184845365,23.72495892,Combustion turbine,Pipeline Natural Gas,Combustion turbine (Natural Gas),Fit
10030_2,35.631,42.13125,48.6315,55.13175,61.632,227107.179,0.578125,8.561762996,8.576984014,8.005424446,8.326280289,8.32192814,-6.29391E-05,0.012322651,-0.891473137,28.21031791,-320.7959693,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
10030_3,40.446,42.372,44.298,46.224,48.15,15564.969,0.84,9.538949926,9.421507515,9.247754637,9.147683034,8.926048563,-0.000984832,0.173743215,-11.48055736,336.6796576,-3687.174334,Combustion turbine,Pipeline Natural Gas,Combustion turbine (Natural Gas),Fit
10034_S-100,50.076,63.79875,77.5215,91.24425,104.967,129388.68,0.47706422,10.24568864,9.488731203,9.058153133,8.802481413,8.548654938,-2.53652E-08,-2.6E-06,0.001988452,-0.237186301,17.62276004,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Fit
1004_CTG1,123.95,148.69375,173.4375,198.18125,222.925,1174942.4,0.556016598,12.39489231,11.11626041,10.56033099,9.852210126,9.646585877,1.7002E-07,-0.000119163,0.031087617,-3.60292987,168.15213,Integrated gasification combined cycle,Coal,Combined cycle (Coal),Fit
1004_CTG2,89.725,122.79375,155.8625,188.93125,222,902150.65,0.404166667,12.64663563,12.21827526,11.95740156,10.04669477,8.86868493,1.46336E-07,-8.99307E-05,0.019806351,-1.870639092,76.51327846,Integrated gasification combined cycle,Coal,Combined cycle (Coal),Fit
10075_1,31.86433995,40.10055282,48.33676568,56.57297855,64.80919142,,0.491663902,11.35165522,11.01892959,10.81695294,10.71962697,10.64179918,,,,,,Tangentially-fired,Coal,Boiler (Coal),Generic
10075_2,29.6,39.775,49.95,60.125,70.3,327750.625,0.421052632,12.74607204,12.37320902,12.33104031,11.75922986,10.63758861,3.26593E-06,-0.000722188,0.056432862,-1.88309006,35.26367461,Tangentially-fired,Coal,Boiler (Coal),Fit
10075_3,50.875,56.19375,61.5125,66.83125,72.15,213133.875,0.705128205,11.78852784,11.71051906,11.57936045,11.64159064,11.74712855,-2.06502E-05,0.00513441,-0.474672584,19.33142919,-280.8698092,Tangentially-fired,Coal,Boiler (Coal),Fit
1007_CT3,40.29074402,47.34015601,54.38956801,61.43898001,68.488392,,0.588285735,7.963928192,7.633361707,7.445596504,7.364883254,7.39030162,,,,,,Combined cycle,Pipeline Natural Gas,Combined cycle (Natural Gas),Generic
