GEN UID,Bus ID,Gen ID,Unit Group,Unit Type,Category,Fuel,Inc_Heat_Rate_0,Inc_Heat_Rate_1,Inc_Heat_Rate_2,Inc_Heat_Rate_3,Net_Heat_Rate_0,Net_Heat_Rate_1,Net_Heat_Rate_2,Net_Heat_Rate_3
101_CT_1,101,1,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
101_CT_2,101,2,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
101_STEAM_3,101,3,U76,STEAM,Coal,Coal,9548,9966,11576,13311,17107,12637,11900,12000
101_STEAM_4,101,4,U76,STEAM,Coal,Coal,9548,9966,11576,13311,17107,12637,11900,12000
102_CT_1,102,1,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
102_CT_2,102,2,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
102_STEAM_3,102,3,U76,STEAM,Coal,Coal,9548,9966,11576,13311,17107,12637,11900,12000
102_STEAM_4,102,4,U76,STEAM,Coal,Coal,9548,9966,11576,13311,17107,12637,11900,12000
107_CC_1,107,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
113_CT_1,113,1,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
113_CT_2,113,2,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
113_CT_3,113,3,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
113_CT_4,113,4,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
115_STEAM_1,115,1,U12,STEAM,Oil ST,Oil,10179,10330,11668,13219,16017,12500,11900,12000
115_STEAM_2,115,2,U12,STEAM,Oil ST,Oil,10179,10330,11668,13219,16017,12500,11900,12000
115_STEAM_3,115,3,U155,STEAM,Coal,Coal,8265,8541,8900,9381,11244,10053,9718,9600
116_STEAM_1,116,1,U155,STEAM,Coal,Coal,8265,8541,8900,9381,11244,10053,9718,9600
118_CC_1,118,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
123_STEAM_2,123,2,U155,STEAM,Coal,Coal,8265,8541,8900,9381,11244,10053,9718,9600
123_STEAM_3,123,3,U350,STEAM,Coal,Coal,8402,8896,9244,9768,10200,9600,9500,9500
123_CT_1,123,1,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
123_CT_4,123,4,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
123_CT_5,123,5,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
201_CT_1,201,1,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
201_CT_2,201,2,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
201_STEAM_3,201,3,U76,STEAM,Coal,Coal,9548,9966,11576,13311,17107,12637,11900,12000
202_CT_1,202,1,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
202_CT_2,202,2,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
202_STEAM_3,202,3,U76,STEAM,Coal,Coal,9548,9966,11576,13311,17107,12637,11900,12000
202_STEAM_4,202,4,U76,STEAM,Coal,Coal,9548,9966,11576,13311,17107,12637,11900,12000
207_CT_1,207,1,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
207_CT_2,207,2,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
213_CC_3,213,3,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
213_CT_1,213,1,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
213_CT_2,213,2,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
215_CT_4,215,4,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
215_CT_5,215,5,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
216_STEAM_1,216,1,U155,STEAM,Coal,Coal,8265,8541,8900,9381,11244,10053,9718,9600
218_CC_1,218,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
221_CC_1,221,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
223_STEAM_1,223,1,U155,STEAM,Coal,Coal,8265,8541,8900,9381,11244,10053,9718,9600
223_STEAM_2,223,2,U155,STEAM,Coal,Coal,8265,8541,8900,9381,11244,10053,9718,9600
223_STEAM_3,223,3,U350,STEAM,Coal,Coal,8402,8896,9244,9768,10200,9600,9500,9500
223_CT_4,223,4,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
223_CT_5,223,5,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
223_CT_6,223,6,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
301_CT_1,301,1,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
301_CT_2,301,2,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
301_CT_3,301,3,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
301_CT_4,301,4,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
302_CT_1,302,1,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
302_CT_2,302,2,U20,CT,Oil CT,Oil,9859,10139,14272,14427,15063,15000,14500,14499
302_CT_3,302,3,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
302_CT_4,302,4,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
307_CT_1,307,1,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
307_CT_2,307,2,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
313_CC_1,313,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
315_STEAM_1,315,1,U12,STEAM,Oil ST,Oil,10179,10330,11668,13219,16017,12500,11900,12000
315_STEAM_2,315,2,U12,STEAM,Oil ST,Oil,10179,10330,11668,13219,16017,12500,11900,12000
315_STEAM_3,315,3,U12,STEAM,Oil ST,Oil,10179,10330,11668,13219,16017,12500,11900,12000
315_STEAM_4,315,4,U12,STEAM,Oil ST,Oil,10179,10330,11668,13219,16017,12500,11900,12000
315_STEAM_5,315,5,U12,STEAM,Oil ST,Oil,10179,10330,11668,13219,16017,12500,11900,12000
315_CT_6,315,6,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
315_CT_7,315,7,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
315_CT_8,315,8,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
316_STEAM_1,316,1,U155,STEAM,Coal,Coal,8265,8541,8900,9381,11244,10053,9718,9600
318_CC_1,318,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
321_CC_1,321,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
322_CT_5,322,5,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
322_CT_6,322,6,U55,CT,Gas CT,NG,9712,10300,10334,11386,13954,13628,12831,12468
323_CC_1,323,1,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
323_CC_2,323,2,U355,CC,Gas CC,NG,5514,6000,6859,8972,13249,12476,10981,10610
114_SYNC_COND_1,114,1,Sync_Cond,SYNC_COND,Sync_Cond,NA,0,0,0,0,0,0,0,0
121_NUCLEAR_1,121,1,U400,NUCLEAR,Nuclear,Nuclear,8848,8965,9210,9438,12751,10825,10170,10000
122_HYDRO_1,122,1,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
122_HYDRO_2,122,2,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
122_HYDRO_3,122,3,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
122_HYDRO_4,122,4,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
122_HYDRO_5,122,5,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
122_HYDRO_6,122,6,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
201_HYDRO_4,201,4,U50,HYDRO,Hydro,NA,0,0,0,0,3412,0,0,0
214_SYNC_COND_1,214,1,Sync_Cond,SYNC_COND,Sync_Cond,NA,0,0,0,0,0,0,0,0
