Year,Month,Day,Period,212_CSP_1
2020,1,1,1,0
2020,1,1,2,0
2020,1,1,3,0
2020,1,1,4,0
2020,1,1,5,0
2020,1,1,6,0
2020,1,1,7,0
2020,1,1,8,0
2020,1,1,9,6
2020,1,1,10,0
2020,1,1,11,33.3
2020,1,1,12,0
2020,1,1,13,0
2020,1,1,14,0
2020,1,1,15,0
2020,1,1,16,0
2020,1,1,17,0
2020,1,1,18,0
2020,1,1,19,0
2020,1,1,20,0
2020,1,1,21,0
2020,1,1,22,0
2020,1,1,23,0
2020,1,1,24,0
2020,1,2,1,0
2020,1,2,2,0
2020,1,2,3,0
2020,1,2,4,0
2020,1,2,5,0
2020,1,2,6,0
2020,1,2,7,0
2020,1,2,8,0
2020,1,2,9,0
2020,1,2,10,69.3
2020,1,2,11,131.9
2020,1,2,12,0
2020,1,2,13,0
2020,1,2,14,0
2020,1,2,15,0
2020,1,2,16,0
2020,1,2,17,0
2020,1,2,18,0
2020,1,2,19,0
2020,1,2,20,0
2020,1,2,21,0
2020,1,2,22,0
2020,1,2,23,0
2020,1,2,24,0
2020,1,3,1,0
2020,1,3,2,0
2020,1,3,3,0
2020,1,3,4,0
2020,1,3,5,0
2020,1,3,6,0
2020,1,3,7,0
2020,1,3,8,0
2020,1,3,9,139.4
2020,1,3,10,299.7
2020,1,3,11,332.8
2020,1,3,12,126.6
2020,1,3,13,286.1
2020,1,3,14,318.2
2020,1,3,15,266.4
2020,1,3,16,98
2020,1,3,17,0
2020,1,3,18,0
2020,1,3,19,0
2020,1,3,20,0
2020,1,3,21,0
2020,1,3,22,0
2020,1,3,23,0
2020,1,3,24,0
2020,1,4,1,0
2020,1,4,2,0
2020,1,4,3,0
2020,1,4,4,0
2020,1,4,5,0
2020,1,4,6,0
2020,1,4,7,0
2020,1,4,8,0
2020,1,4,9,132.2
2020,1,4,10,291.5
2020,1,4,11,324.4
2020,1,4,12,141.2
2020,1,4,13,332.3
2020,1,4,14,311.1
2020,1,4,15,261.5
2020,1,4,16,0
2020,1,4,17,0
2020,1,4,18,0
2020,1,4,19,0
2020,1,4,20,0
2020,1,4,21,0
2020,1,4,22,0
2020,1,4,23,0
2020,1,4,24,0
2020,1,5,1,0
2020,1,5,2,0
2020,1,5,3,0
2020,1,5,4,0
2020,1,5,5,0
2020,1,5,6,0
2020,1,5,7,0
2020,1,5,8,0
2020,1,5,9,141.3
2020,1,5,10,301.8
2020,1,5,11,232.1
2020,1,5,12,347.1
2020,1,5,13,342.9
2020,1,5,14,321.5
2020,1,5,15,270.9
2020,1,5,16,165.6
2020,1,5,17,0
2020,1,5,18,0
2020,1,5,19,0
2020,1,5,20,0
2020,1,5,21,0
2020,1,5,22,0
2020,1,5,23,0
2020,1,5,24,0
2020,1,6,1,0
2020,1,6,2,0
2020,1,6,3,0
2020,1,6,4,0
2020,1,6,5,0
2020,1,6,6,0
2020,1,6,7,0
2020,1,6,8,0
2020,1,6,9,147
2020,1,6,10,308.2
2020,1,6,11,342.1
2020,1,6,12,354.5
2020,1,6,13,351.2
2020,1,6,14,330.6
2020,1,6,15,280.2
2020,1,6,16,175
2020,1,6,17,0
2020,1,6,18,0
2020,1,6,19,0
2020,1,6,20,0
2020,1,6,21,0
2020,1,6,22,0
2020,1,6,23,0
2020,1,6,24,0
2020,1,7,1,0
2020,1,7,2,0
2020,1,7,3,0
2020,1,7,4,0
2020,1,7,5,0
2020,1,7,6,0
2020,1,7,7,0
2020,1,7,8,0
2020,1,7,9,72.4
2020,1,7,10,304.2
2020,1,7,11,151.9
2020,1,7,12,269.9
2020,1,7,13,348.5
2020,1,7,14,328.2
2020,1,7,15,278.3
