Year,Month,Day,Period,1,2,3
2020,1,1,1,985.0197922,1102.675901,1249.636191
2020,1,1,2,985.7248887,1082.937195,1192.383739
2020,1,1,3,1001.58956,1079.796946,1165.786144
2020,1,1,4,1036.139287,1078.451125,1150.007909
2020,1,1,5,1139.788471,1099.087045,1163.982917
2020,1,1,6,1286.801089,1156.060129,1229.349889
2020,1,1,7,1347.086838,1233.220526,1368.198355
2020,1,1,8,1305.486145,1220.659531,1460.61373
2020,1,1,9,1232.508659,1204.061074,1566.102499
2020,1,1,10,1184.20955,1209.444357,1638.682379
2020,1,1,11,1153.185304,1181.182119,1688.721923
2020,1,1,12,1129.212024,1174.004407,1710.811452
2020,1,1,13,1107.706581,1174.901621,1698.188864
2020,1,1,14,1093.957199,1161.89202,1702.696931
2020,1,1,15,1087.611331,1157.40595,1684.213856
2020,1,1,16,1091.489362,1161.89202,1659.419488
2020,1,1,17,1170.460168,1193.743113,1693.229991
2020,1,1,18,1280.102672,1409.074453,1888.880101
2020,1,1,19,1266.000742,1428.364552,1860.028472
2020,1,1,20,1245.200396,1406.831418,1797.36634
2020,1,1,21,1204.657348,1371.391469,1715.770326
2020,1,1,22,1117.577932,1296.922714,1601.716229
2020,1,1,23,1031.203612,1210.790178,1465.121797
2020,1,1,24,991.0131123,1138.564458,1324.019298
2020,1,2,1,970.9178624,1097.292618,1236.11199
2020,1,2,2,968.4500247,1082.488588,1187.875672
2020,1,2,3,977.9688273,1074.86227,1153.614363
2020,1,2,4,1011.46091,1077.105305,1137.385321
2020,1,2,5,1097.83523,1097.292618,1145.049035
2020,1,2,6,1221.227115,1155.162915,1213.120848
2020,1,2,7,1274.109352,1236.360774,1346.108826
2020,1,2,8,1224.752598,1215.276247,1426.803227
2020,1,2,9,1174.690747,1204.061074,1535.447643
2020,1,2,10,1150.364918,1192.8459,1617.494464
2020,1,2,11,1128.506927,1185.219581,1686.46789
2020,1,2,12,1120.750866,1177.593263,1733.802594
2020,1,2,13,1112.642256,1164.135054,1754.088896
2020,1,2,14,1101.713261,1163.686447,1784.292945
2020,1,2,15,1099.245423,1152.91988,1782.940525
2020,1,2,16,1101.360713,1147.08799,1745.523568
2020,1,2,17,1163.056655,1215.724854,1735.155014
2020,1,2,18,1265.295646,1386.644105,1889.330908
