Year,Month,Day,Period,308_RTPV_1,313_RTPV_1,313_RTPV_2,313_RTPV_3,313_RTPV_4,313_RTPV_5,313_RTPV_6,313_RTPV_7,313_RTPV_8,313_RTPV_9,313_RTPV_10,313_RTPV_11,313_RTPV_12,320_RTPV_1,320_RTPV_2,320_RTPV_3,313_RTPV_13,320_RTPV_4,320_RTPV_5,118_RTPV_1,118_RTPV_2,118_RTPV_3,118_RTPV_4,118_RTPV_5,118_RTPV_6,320_RTPV_6,118_RTPV_7,118_RTPV_8,118_RTPV_9,118_RTPV_10,213_RTPV_1
2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,8,13.3,13.4,9.6,8.1,8.7,9.2,9.1,9.6,8.8,9.6,9.7,10,4.3,4.3,4.3,4.5,4.5,4,4.6,1.6,1.6,1.7,1.6,1.6,1.5,1.6,1.8,1.9,1.6,0.8,2.3
2020,1,1,9,35.9,36,23.1,21.8,23.1,22.8,23.5,23.7,23.7,23.6,24,25.2,10.5,10.6,10.5,10.5,10.5,9.9,11,3.7,3.7,3.7,3.7,3.5,3.6,3.6,4.1,4.2,3.8,1.7,5
2020,1,1,10,52.9,53,33.9,32.3,34.2,33.6,33.1,34.5,34.1,34.6,34.8,37,15.5,15.5,15.5,15.2,15.1,14.5,16,5,5,5.1,5.1,4.9,5,5,6,6.1,5.5,2.5,7
2020,1,1,11,64.5,64.5,40.1,40.1,40.2,39.9,38.8,40.7,42.1,41.9,41.1,44.4,18.3,18.3,18.3,18,17.8,17.1,18.7,6,6,6,6.1,5.8,6.1,5.9,6.9,7.2,6.6,3,8
2020,1,1,12,67,67.1,41.5,43.1,42.8,41.5,41,42.7,42.3,43,44,46.6,19.5,19.5,19.5,19.1,18.8,18.3,19.7,6.3,6.3,6.4,6.4,6.2,6.3,6.3,7.4,7.7,6.9,3.2,8.3
2020,1,1,13,65.4,65.4,42,42.8,41.7,41.8,40.7,40.8,41.6,40.8,42.6,45.1,19.4,19.4,19.4,19,19.2,17.7,20.1,6.2,6.2,6.1,6.3,5.9,6.2,6,7.2,7.5,6.7,3.1,8
2020,1,1,14,59.2,59.2,37.1,37.7,36.7,36.9,37.1,37.8,37.6,37.7,38,40.2,17,17,17,16.7,17.4,15.8,18.2,5.4,5.4,5.6,5.5,5.4,5.5,5.5,6.6,6.7,5.9,2.7,7.3
2020,1,1,15,48,47.9,29.3,29,29,29.1,29.2,29.5,29.4,29.5,29,30.2,12.8,12.8,12.8,12.6,13,12,13.5,4,4,4.3,4,4.1,4,4.2,5.2,5.3,4.7,2.2,5.3
2020,1,1,16,23.2,23.1,14.8,14.2,14.5,14.6,14.7,14,14.1,14,13.6,15.8,6.3,6.3,6.3,5.9,6.3,5.6,6.3,1.9,1.9,1.9,1.9,2,1.8,1.9,2.5,2.5,2.3,1,2.1
2020,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,8,12.9,13.1,9.2,8,8.4,8.8,8.9,9.4,8.6,9.4,9.5,9.9,4.2,4.2,4.2,4.4,4.3,4,4.4,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.8,1.8,1.6,0.8,2.3
2020,1,2,9,36,36.1,22.7,22,22.5,22.4,22.8,23.9,23.1,23.9,23.6,24.7,10.5,10.5,10.5,10.5,10.3,9.8,10.8,3.6,3.6,3.7,3.6,3.5,3.6,3.6,4.1,4.2,3.8,1.7,5
2020,1,2,10,53.4,53.5,33.4,33.1,33.1,33.2,34.1,35.3,34.7,35.2,34.3,36.3,15.6,15.7,15.6,15.3,15,14.3,15.8,5.1,5.1,5.3,5.2,5.1,5.1,5.1,5.9,6,5.3,2.5,7
2020,1,2,11,62.4,62.5,39.4,39.4,40.7,39.4,40.7,42.1,41.6,42.1,40.5,42.7,18.6,18.6,18.6,18.2,18,16.8,18.9,6,6,6.3,6,6,6.1,6.1,7,7.1,6.3,2.9,7.9
2020,1,2,12,67.8,67.8,41.5,41.7,43.2,41.6,43.3,44.5,44.3,44.4,42.9,45.3,19.5,19.5,19.4,19.1,19.4,17.8,20.4,6.3,6.3,6.5,6.3,6.3,6.4,6.4,7.4,7.5,6.5,3.1,8.3
2020,1,2,13,65,65,41.7,40.7,42.2,41.6,41.8,43.3,42.8,43.3,41.9,44.2,18.9,18.9,18.9,18.5,19.1,17.3,20,6.1,6,6.4,6.1,6.2,6.1,6.3,7.3,7.4,6.7,3.1,8.3
2020,1,2,14,58,57.9,36.6,36.5,37.6,36.4,37.7,38.9,38.5,38.9,37.4,39.5,16.8,16.8,16.8,16.5,16.9,15.4,17.7,5.3,5.3,5.6,5.4,5.4,5.4,5.5,6.6,6.7,6,2.8,7.2
2020,1,2,15,44.6,44.5,28.4,28.4,28.3,28.4,28.3,30.1,28.6,30,28.4,29.8,12.8,12.7,12.7,12.5,12.9,11.7,13.5,4,4,4.3,4.1,4.1,4,4.2,5.1,5.2,4.6,2.1,5.2
2020,1,2,16,22.5,22.5,14.8,14.1,14.3,14.5,14.5,15.3,13.9,15.3,15.1,15.9,6.3,6.3,6.3,5.9,6.3,5.6,6.3,1.9,1.9,2,1.9,2,1.8,2,2.5,2.5,2.2,1,2.1
2020,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
