Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020,1,1,61,46,63,69,74,80,92,97,98,92,74,47,43,45,16,27,31,81,84,90,92,93,93,93
2020,1,2,93,93,93,93,93,93,93,97,99,99,99,94,94,94,93,93,92,93,93,93,93,92,89,89
2020,1,3,85,62,41,41,52,54,47,55,74,86,91,70,94,90,93,93,92,71,74,84,92,93,92,91
2020,1,4,69,48,32,40,54,51,38,50,53,50,49,55,75,87,93,92,84,90,93,79,46,41,41,41
2020,1,5,41,41,41,41,41,41,41,50,65,56,73,94,94,94,93,92,89,58,59,70,85,87,91,93
2020,1,6,80,77,73,50,51,48,53,56,54,54,54,47,57,69,72,69,65,70,72,75,72,60,62,62
2020,1,7,46,41,41,41,41,41,41,49,54,54,54,44,44,44,41,41,41,41,41,41,41,41,41,41
2020,1,8,83,56,55,85,92,92,93,95,57,54,54,54,44,44,41,41,41,41,41,41,41,41,41,41
2020,1,9,41,42,41,41,41,49,60,76,94,99,99,85,72,64,44,57,59,68,92,93,93,92,92,92
2020,1,10,74,72,79,92,92,92,76,77,74,68,75,80,94,94,93,93,93,93,92,92,93,93,92,92
2020,1,11,93,93,93,93,93,91,85,75,99,169,89,67,111,114,96,90,86,89,91,92,92,93,79,85
2020,1,12,71,82,56,49,59,64,69,82,91,90,99,94,94,94,93,93,93,93,93,92,93,93,93,93
2020,1,13,93,92,93,92,93,93,91,93,89,83,86,72,72,70,83,90,93,65,52,78,55,49,61,45
2020,1,14,56,47,41,41,41,41,56,61,54,54,54,45,55,65,88,92,92,69,77,80,86,84,91,91
2020,1,15,93,93,92,93,91,83,91,95,99,114,141,111,108,105,87,82,66,5,5,5,5,11,5,19
2020,1,16,11,20,51,82,84,85,88,94,99,98,97,89,87,88,87,90,92,92,92,73,63,68,46,42
2020,1,17,41,41,41,41,41,43,41,49,54,54,54,54,44,44,42,41,102,41,45,41,55,60,77,80
2020,1,18,74,92,92,93,93,92,92,96,99,98,91,81,73,69,60,43,37,30,29,17,31,39,43,59
2020,1,19,53,52,56,54,49,49,59,71,75,79,70,52,54,53,47,40,28,60,77,80,88,92,93,93
2020,1,20,93,93,92,92,92,93,93,97,99,100,98,81,61,55,42,34,42,29,30,35,36,44,58,69
2020,1,21,73,70,69,65,74,82,85,90,96,98,98,91,80,75,83,87,89,91,92,92,92,92,92,92
2020,1,22,92,92,92,92,91,91,91,96,99,99,100,96,82,73,67,82,84,88,93,93,93,73,92,70
2020,1,23,92,92,79,47,41,41,41,49,54,54,64,65,49,57,70,82,94,90,91,93,92,92,71,56
2020,1,24,44,54,77,91,92,92,92,61,89,57,54,48,70,54,55,76,94,93,92,45,45,56,83,92
2020,1,25,92,92,92,92,93,92,57,52,54,54,54,54,44,44,41,42,44,86,64,59,47,41,41,41
2020,1,26,41,41,41,41,41,41,59,86,99,75,96,94,93,91,86,93,94,83,93,81,70,61,52,41
2020,1,27,41,41,41,41,41,41,41,49,54,54,54,54,44,44,41,42,44,78,60,41,41,41,41,41
2020,1,28,41,41,41,41,41,41,41,52,71,94,99,93,90,92,90,93,93,91,92,89,76,77,75,41
2020,1,29,41,41,41,41,41,41,41,49,54,54,54,54,44,44,41,42,44,52,43,41,41,52,67,67
2020,1,30,45,41,41,41,41,41,41,49,54,54,61,64,94,94,93,88,72,93,92,92,71,61,79,67
2020,1,31,62,92,92,92,93,92,90,85,94,88,64,35,37,25,14,31,66,47,90,93,92,92,93,88
2020,2,1,79,64,52,76,61,41,41,49,54,54,54,58,82,44,41,42,77,49,60,73,92,92,79,65
2020,2,2,61,63,64,55,56,58,63,65,77,95,99,94,92,84,54,31,20,8,49,45,45,74,79,89
2020,2,3,91,92,92,92,91,90,95,95,96,97,90,65,69,77,65,50,42,5,13,19,23,26,25,13
