Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020,1,1,73,60,74,79,83,88,96,93,93,89,66,52,48,50,43,47,27,85,88,93,92,92,94,92
2020,1,2,92,92,91,91,91,92,92,95,94,94,94,99,99,98,99,102,96,94,94,93,92,95,96,95
2020,1,3,92,73,56,56,65,67,61,65,77,87,93,85,102,101,103,102,91,73,76,87,92,91,91,93
2020,1,4,69,45,28,36,51,48,34,44,38,34,33,60,82,95,98,101,88,93,92,88,61,56,56,56
2020,1,5,56,56,56,56,56,56,56,60,68,59,76,100,99,97,98,101,93,56,58,72,89,91,93,93
2020,1,6,88,85,83,64,65,62,66,66,58,58,58,67,74,84,89,89,75,80,82,84,81,71,74,73
2020,1,7,61,56,56,56,56,56,56,59,58,58,58,65,65,65,66,69,56,56,56,56,56,56,56,56
2020,1,8,90,69,68,93,92,92,91,99,60,58,58,58,65,65,66,69,56,56,56,56,56,56,56,56
2020,1,9,56,57,56,56,56,63,72,84,95,99,93,93,78,69,54,69,57,68,92,92,94,97,96,98
2020,1,10,83,82,87,98,97,98,85,84,77,72,78,92,103,101,100,102,93,93,95,97,93,91,98,97
2020,1,11,94,91,92,95,91,92,88,56,80,109,58,94,105,108,112,113,90,93,92,91,95,94,88,93
2020,1,12,81,89,69,63,71,75,79,88,92,91,98,99,98,97,98,100,92,92,94,97,95,94,94,91
2020,1,13,92,95,94,97,95,92,93,95,87,78,83,79,78,76,94,102,92,76,65,86,68,62,72,59
2020,1,14,68,61,56,56,56,56,68,71,58,58,58,66,73,81,102,106,95,69,80,83,90,88,93,93
2020,1,15,92,91,97,95,92,87,93,94,92,106,124,123,120,119,109,90,66,3,3,3,3,8,3,15
2020,1,16,8,16,49,86,88,88,92,95,93,93,94,97,95,96,98,102,98,91,96,82,74,79,60,57
2020,1,17,56,56,56,56,56,58,56,59,58,58,58,58,65,65,67,69,100,56,60,56,68,72,86,88
2020,1,18,83,98,96,92,91,92,92,94,93,94,89,89,80,75,69,57,44,26,25,14,26,35,39,57
2020,1,19,51,49,54,52,46,46,58,69,67,73,60,57,58,58,56,65,38,58,80,84,92,92,91,92
2020,1,20,92,95,96,96,97,95,93,94,94,93,94,90,66,60,53,63,47,25,26,31,32,41,57,70
2020,1,21,75,71,70,65,76,85,89,92,95,94,94,99,88,82,93,106,97,92,91,91,91,91,91,91
2020,1,22,91,91,91,91,92,93,92,94,94,96,93,95,90,80,76,101,92,92,94,91,94,83,97,80
2020,1,23,98,97,87,61,56,56,56,59,58,58,67,68,69,75,87,105,98,93,92,91,95,97,80,68
2020,1,24,59,67,85,98,98,97,97,71,87,60,58,68,85,72,77,101,100,92,96,59,59,69,90,97
2020,1,25,95,95,97,91,93,97,69,62,58,58,58,58,65,65,66,79,65,93,75,71,61,56,56,56
2020,1,26,56,56,56,56,56,56,71,92,99,77,97,97,98,99,96,100,102,87,91,89,80,73,65,56
2020,1,27,56,56,56,56,56,56,56,59,58,58,58,58,65,65,66,79,65,87,72,56,56,56,56,56
2020,1,28,56,56,56,56,56,56,56,62,75,95,98,97,98,99,100,111,97,92,95,93,85,85,84,56
2020,1,29,56,56,56,56,56,56,56,59,58,58,58,58,65,65,66,79,65,66,57,56,56,65,78,78
2020,1,30,59,56,56,56,56,56,56,59,58,58,64,81,103,99,98,107,79,94,97,98,81,73,87,77
2020,1,31,74,98,97,96,92,91,93,86,92,85,53,42,44,36,38,49,71,44,93,95,97,96,95,95
2020,2,1,88,75,65,85,72,56,56,59,58,58,58,61,94,65,66,79,90,63,71,82,96,98,87,76
2020,2,2,73,75,75,68,69,70,126,74,79,96,94,97,99,92,63,61,34,5,47,42,42,76,82,93
2020,2,3,93,92,91,91,92,93,141,95,94,95,88,70,75,84,74,72,47,4,10,15,19,22,21,10
2020,2,4,11,9,8,7,10,16,107,27,26,26,22,33,33,33,36,41,33,13,66,86,90,91,93,93
2020,2,5,92,92,91,91,91,91,139,93,93,92,94,88,62,49,46,46,34,3,16,30,40,49,41,41
2020,2,6,55,67,76,85,87,85,137,90,90,89,83,89,84,86,92,93,91,28,64,73,73,81,85,88
2020,2,7,93,92,91,94,94,94,142,98,97,92,92,97,97,98,99,101,97,92,91,92,92,92,93,91
2020,2,8,85,76,63,58,55,57,119,61,60,50,30,37,36,36,39,45,35,3,3,5,13,13,14,15
2020,2,9,14,16,11,9,4,9,106,24,21,22,18,34,36,33,36,41,33,3,3,3,12,20,25,29
2020,2,10,28,28,39,39,45,58,118,63,70,85,77,72,91,98,99,101,99,92,82,63,73,87,92,93
2020,2,11,92,89,85,86,89,93,140,95,94,86,78,63,43,34,39,57,35,20,34,56,61,73,82,83
2020,2,12,85,86,88,89,89,87,136,90,101,102,83,83,69,49,41,58,35,13,24,27,32,40,53,54
2020,2,13,39,39,43,48,49,39,115,63,66,76,81,87,90,92,92,105,99,92,97,78,71,75,80,87
2020,2,14,97,96,91,87,89,95,144,99,107,107,106,124,116,117,111,101,98,91,91,92,94,92,92,92
2020,2,15,93,93,94,92,91,90,139,92,90,88,79,73,102,102,85,71,68,64,67,72,78,84,79,81
2020,2,16,84,84,80,57,39,40,114,49,71,60,62,66,65,67,72,41,33,7,22,61,91,72,62,54
2020,2,17,47,39,38,60,80,87,138,92,92,95,90,88,94,97,100,102,100,92,92,94,92,92,94,94
2020,2,18,93,96,96,96,94,97,143,92,86,67,79,87,87,94,102,106,104,95,77,58,56,56,56,56
2020,2,19,56,56,56,56,67,65,120,59,58,58,75,83,90,86,83,87,79,97,90,83,80,85,82,85
2020,2,20,86,87,76,77,69,56,119,59,58,58,58,65,65,65,66,69,66,56,56,98,95,92,91,91
2020,2,21,91,91,95,95,92,86,127,70,47,41,28,36,39,37,41,43,45,24,23,34,65,77,62,54
2020,2,22,49,47,48,40,35,40,114,46,34,33,23,34,34,33,36,42,39,31,81,88,92,91,91,88
2020,2,23,88,88,91,85,85,72,128,59,105,104,106,73,102,103,103,101,99,84,95,93,94,92,96,62
2020,2,24,56,56,58,91,95,98,128,85,99,90,90,91,91,100,86,85,112,93,92,93,93,93,93,95
2020,2,25,97,94,97,98,96,93,98,97,138,118,116,100,101,100,109,113,100,56,56,57,58,56,56,56
2020,2,26,56,56,94,94,91,93,136,73,88,62,49,42,48,53,60,67,85,84,87,93,98,95,97,96
