Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020,1,1,54,48,54,56,59,62,69,75,77,75,66,57,54,55,44,47,45,71,73,75,73,70,68,67
2020,1,2,67,66,66,67,67,68,69,73,75,75,75,75,75,75,73,72,70,73,73,72,71,69,65,64
2020,1,3,62,53,46,46,50,53,52,58,65,69,71,66,74,73,72,72,71,66,66,70,72,70,69,69
2020,1,4,57,46,38,42,49,48,43,51,52,51,51,58,67,73,71,71,67,73,71,64,53,50,49,47
2020,1,5,47,46,46,46,46,47,47,53,59,56,62,72,72,73,70,71,70,57,58,63,69,70,69,66
2020,1,6,60,58,57,49,51,51,55,59,59,59,59,59,62,65,64,63,59,64,65,65,63,58,56,55
2020,1,7,49,46,46,47,48,50,52,57,59,59,58,58,58,58,55,54,52,56,56,55,54,52,50,48
2020,1,8,61,52,51,62,69,71,72,73,60,60,59,59,58,58,54,54,53,56,57,56,55,52,50,48
2020,1,9,47,47,47,47,49,53,59,67,73,75,77,74,67,64,52,67,57,65,74,73,71,69,67,65
2020,1,10,58,57,60,65,66,67,63,66,66,64,66,69,73,74,71,79,70,72,71,70,70,70,66,65
2020,1,11,66,67,66,65,67,68,67,72,79,78,65,75,102,104,82,97,69,73,72,71,69,68,61,62
2020,1,12,57,60,51,48,52,54,56,64,68,68,72,72,72,73,70,77,68,71,71,70,70,69,68,68
2020,1,13,67,66,66,65,67,69,72,76,74,71,73,68,67,66,70,81,71,63,60,67,59,56,57,51
2020,1,14,53,50,48,48,50,52,59,64,61,61,60,59,62,64,69,77,70,66,70,71,73,71,71,70
2020,1,15,67,68,65,66,70,69,74,77,77,91,98,100,98,90,77,73,61,46,46,46,44,41,37,37
2020,1,16,34,35,48,65,66,68,72,77,77,77,78,76,75,75,73,81,77,74,73,66,62,62,52,49
2020,1,17,48,48,48,48,49,52,54,59,61,60,60,59,58,58,54,63,99,55,57,55,58,59,63,62
2020,1,18,59,66,66,68,68,70,71,75,76,77,74,70,66,64,57,59,50,45,46,43,45,47,48,55
2020,1,19,51,50,52,51,48,49,55,63,65,67,62,56,57,56,50,57,47,58,67,69,73,71,69,67
2020,1,20,67,66,65,66,66,68,71,75,76,76,77,72,63,60,51,58,54,49,50,50,49,50,55,58
2020,1,21,60,58,57,55,61,66,70,74,78,78,77,78,71,69,71,80,76,75,74,74,72,71,69,68
2020,1,22,67,67,67,67,68,70,72,76,75,75,76,78,72,68,63,76,73,74,73,73,71,62,67,57
2020,1,23,65,65,59,49,48,50,53,58,60,59,62,62,60,61,62,74,75,74,75,73,71,69,59,53
2020,1,24,48,51,59,64,65,68,69,61,76,60,59,59,66,60,58,72,74,72,71,55,54,56,63,66
