Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020,1,1,55,50,55,57,59,62,68,72,72,70,61,60,58,59,49,50,44,67,68,70,69,68,66,65
2020,1,2,64,64,64,64,64,66,67,71,72,72,73,77,77,77,74,73,69,71,71,70,69,68,65,64
2020,1,3,62,54,48,48,52,54,54,59,65,68,71,71,77,76,74,74,68,62,63,66,68,67,66,64
2020,1,4,53,43,37,39,45,45,41,49,49,48,48,60,68,72,71,71,63,68,69,64,54,52,50,49
2020,1,5,48,48,48,48,48,49,49,55,59,56,62,74,74,74,70,70,65,53,54,59,65,65,65,64
2020,1,6,60,59,58,51,52,53,56,60,59,59,59,65,67,70,68,67,60,65,66,66,64,59,57,56
2020,1,7,50,48,48,49,50,52,54,59,59,59,59,64,64,64,60,60,54,57,58,57,56,54,51,50
2020,1,8,62,53,53,62,65,67,69,73,61,60,60,60,64,64,60,60,54,58,58,57,56,54,52,50
2020,1,9,49,49,49,49,50,55,60,67,72,73,73,74,68,65,54,63,53,61,71,71,70,68,66,65
2020,1,10,59,58,60,64,65,67,64,67,65,64,66,73,77,77,73,76,68,70,70,69,69,67,66,65
2020,1,11,64,64,64,64,64,64,62,56,82,63,56,67,89,90,91,88,64,67,68,68,68,67,62,63
2020,1,12,57,60,52,50,53,55,57,64,67,67,70,74,74,74,70,74,66,69,70,69,69,68,66,65
2020,1,13,65,64,64,65,65,66,67,71,69,67,68,69,68,67,69,76,68,64,61,68,61,57,58,52
2020,1,14,54,52,50,50,51,54,61,65,61,61,61,65,67,69,72,77,68,62,67,67,69,66,67,65
2020,1,15,65,65,65,65,65,64,69,73,74,92,95,94,93,96,83,83,57,46,46,45,44,41,37,36
2020,1,16,34,34,45,60,62,64,67,72,73,73,72,76,75,75,71,76,77,71,72,66,63,62,54,51
2020,1,17,50,49,49,50,51,54,56,61,61,60,60,60,64,64,60,63,89,57,58,57,60,60,63,63
2020,1,18,60,65,65,65,65,66,67,71,72,72,69,71,67,65,57,56,54,44,45,42,44,45,45,51
2020,1,19,47,46,48,47,45,46,51,59,60,62,57,58,59,58,52,55,52,54,63,65,67,67,66,65
2020,1,20,64,64,64,64,65,67,69,73,73,73,73,73,64,62,54,56,58,47,49,49,48,48,51,54
2020,1,21,56,53,53,51,57,62,66,70,72,72,72,77,72,70,70,75,76,70,71,71,69,68,66,64
2020,1,22,64,64,63,64,64,66,68,72,73,73,72,72,72,68,62,72,73,69,71,70,70,62,66,58
2020,1,23,64,64,60,51,50,52,55,59,60,60,62,62,65,67,67,73,77,70,71,71,70,68,60,54
2020,1,24,50,53,59,64,65,67,69,63,75,60,59,65,70,66,63,72,76,70,70,57,56,58,64,65
2020,1,25,65,64,64,64,65,65,56,58,58,58,58,57,62,62,57,62,62,66,61,59,55,52,51,50
2020,1,26,49,49,48,49,49,50,56,67,70,63,69,74,74,73,68,74,75,65,69,65,61,58,54,49
2020,1,27,48,48,48,49,50,52,54,59,60,60,60,59,64,64,60,64,64,66,62,57,55,53,51,49
2020,1,28,48,48,48,48,49,51,53,59,64,71,72,76,75,76,72,76,76,69,70,69,64,63,60,49
2020,1,29,48,48,48,48,49,51,53,58,59,59,59,59,64,64,60,64,64,59,57,56,55,56,58,57
2020,1,30,50,48,48,48,49,51,53,58,59,59,61,69,77,77,73,75,68,70,71,70,63,58,62,57
2020,1,31,55,64,64,64,64,65,67,67,70,68,57,56,57,54,49,56,65,51,69,69,68,67,66,63
2020,2,1,60,54,51,58,53,48,49,55,56,57,57,58,72,62,57,61,70,55,59,62,67,66,61,56
2020,2,2,54,54,54,51,52,53,77,58,62,68,70,74,74,71,54,52,50,37,49,47,47,58,59,63
2020,2,3,63,63,63,63,63,65,87,71,71,72,69,65,67,70,62,60,57,42,45,44,44,42,38,34
2020,2,4,33,32,31,31,33,38,69,47,49,49,48,53,53,53,48,52,52,44,60,66,67,65,65,63
2020,2,5,63,63,63,63,64,66,87,71,72,72,72,72,63,59,53,56,54,43,46,48,49,49,44,42
2020,2,6,46,51,55,58,60,61,84,68,69,69,68,72,71,72,70,73,73,47,59,62,60,61,61,61
2020,2,7,63,63,63,63,64,65,87,71,72,72,72,76,76,77,73,76,76,68,69,69,68,66,65,62
2020,2,8,59,55,49,47,46,47,74,54,56,53,47,52,51,51,46,51,51,37,40,39,39,38,36,35
2020,2,9,33,33,31,31,31,32,65,41,43,44,43,50,50,49,44,49,50,37,40,40,39,39,38,38
2020,2,10,36,36,39,40,43,50,75,58,62,67,64,66,74,77,73,77,77,70,65,58,60,63,63,64
2020,2,11,63,60,58,59,61,65,87,71,71,68,65,63,56,53,54,53,53,43,49,55,55,58,59,59
2020,2,12,59,59,60,60,61,62,84,68,79,88,67,69,64,57,49,53,52,42,47,47,47,47,49,48
2020,2,13,41,40,42,44,45,44,74,59,61,65,67,71,72,73,68,74,76,69,71,64,61,60,60,61
2020,2,14,64,63,61,60,61,65,88,72,83,92,91,94,94,93,92,80,76,69,70,70,69,68,66,65
2020,2,15,64,63,63,62,62,63,84,67,68,68,64,65,88,83,81,66,62,55,58,59,61,62,59,59
2020,2,16,59,59,57,47,41,42,71,53,67,63,64,72,70,71,64,55,49,38,43,55,66,58,52,48
2020,2,17,44,41,40,49,58,63,85,69,70,71,70,68,73,74,71,75,75,68,71,70,70,68,66,65
2020,2,18,64,64,64,64,65,68,89,70,69,63,66,71,71,73,73,76,73,69,65,58,57,54,52,50
2020,2,19,49,49,48,49,54,56,79,60,60,60,64,70,72,70,65,69,63,69,68,65,63,63,60,60
2020,2,20,59,60,56,56,54,52,78,59,59,59,59,64,64,64,59,64,59,54,56,70,69,67,66,64
2020,2,21,64,64,64,64,64,62,80,61,54,53,49,54,55,54,54,53,50,43,45,47,56,59,52,48
2020,2,22,44,43,43,40,39,42,49,50,48,48,46,51,50,50,44,50,51,42,62,65,66,64,63,61
2020,2,23,60,60,61,58,58,53,59,53,80,80,80,67,84,88,78,84,74,62,68,66,67,66,65,50
2020,2,24,47,47,48,60,63,65,61,81,84,87,87,84,86,72,72,71,96,69,71,70,69,68,66,65
2020,2,25,64,63,63,63,63,64,80,78,81,97,91,85,85,89,82,76,73,54,56,56,55,52,50,49
2020,2,26,48,47,61,63,63,64,66,61,68,59,55,53,57,59,56,62,65,63,66,69,69,66,65,64
2020,2,27,64,63,63,63,64,65,70,70,72,68,64,69,76,76,73,76,72,44,42,42,44,49,39,40
2020,2,28,45,46,59,60,58,56,58,80,85,78,74,74,73,73,61,67,47,46,48,50,49,52,48,48
2020,2,29,48,51,55,59,62,63,67,68,69,60,54,57,53,51,44,49,43,37,40,48,62,66,65,64
2020,3,1,60,59,61,58,58,53,58,52,80,80,80,67,84,88,77,84,74,62,68,66,67,65,65,50
2020,3,2,47,46,47,60,63,65,61,81,84,87,87,84,86,71,72,71,96,69,71,71,69,67,66,64
2020,3,3,63,63,62,63,63,64,80,78,80,97,91,85,85,89,82,76,72,54,56,56,55,52,50,48
2020,3,4,47,47,61,63,63,64,66,61,68,59,55,53,57,59,56,62,65,63,66,69,69,66,65,64
