Year,Month,Day,Period,VALUE
2020,1,1,1,33.08
2020,1,1,2,32.488
2020,1,1,3,32.394
2020,1,1,4,32.354
2020,1,1,5,32.973
2020,1,1,6,34.682
2020,1,1,7,36.997
2020,1,1,8,36.62
2020,1,1,9,36.122
2020,1,1,10,36.283
2020,1,1,11,35.435
2020,1,1,12,35.22
2020,1,1,13,35.247
2020,1,1,14,34.857
2020,1,1,15,34.722
2020,1,1,16,34.857
2020,1,1,17,35.812
2020,1,1,18,42.272
2020,1,1,19,42.851
2020,1,1,20,42.205
2020,1,1,21,41.142
2020,1,1,22,38.908
2020,1,1,23,36.324
2020,1,1,24,34.157
2020,1,2,1,32.919
2020,1,2,2,32.475
2020,1,2,3,32.246
2020,1,2,4,32.313
2020,1,2,5,32.919
2020,1,2,6,34.655
2020,1,2,7,37.091
2020,1,2,8,36.458
2020,1,2,9,36.122
2020,1,2,10,35.785
2020,1,2,11,35.557
2020,1,2,12,35.328
2020,1,2,13,34.924
2020,1,2,14,34.911
2020,1,2,15,34.588
2020,1,2,16,34.413
2020,1,2,17,36.472
2020,1,2,18,41.599
2020,1,2,19,42.07
2020,1,2,20,41.922
2020,1,2,21,40.765
2020,1,2,22,38.517
2020,1,2,23,36.203
2020,1,2,24,34.076
2020,1,3,1,32.986
2020,1,3,2,32.596
2020,1,3,3,32.3
2020,1,3,4,32.421
2020,1,3,5,33.067
2020,1,3,6,34.938
2020,1,3,7,37.495
2020,1,3,8,36.674
2020,1,3,9,36.445
2020,1,3,10,36.122
2020,1,3,11,35.785
2020,1,3,12,35.355
2020,1,3,13,35.086
2020,1,3,14,34.641
2020,1,3,15,34.493
2020,1,3,16,34.265
2020,1,3,17,32.555
2020,1,3,18,40.63
2020,1,3,19,40.819
2020,1,3,20,40.24
2020,1,3,21,39.258
2020,1,3,22,37.939
2020,1,3,23,36.351
2020,1,3,24,34.52
2020,1,4,1,33.296
2020,1,4,2,32.798
2020,1,4,3,32.609
