Year,Month,Day,Period,309_WIND_1,317_WIND_1,303_WIND_1,122_WIND_1
2020,1,1,1,142.8,795.1,480.8,713.2
2020,1,1,2,139.1,794.4,634.9,712.8
2020,1,1,3,145.3,773.6,487.3,708.4
2020,1,1,4,144.8,767.3,432.7,710.7
2020,1,1,5,137.1,752.2,407.9,701.4
2020,1,1,6,98.6,719.4,440.2,682.5
2020,1,1,7,62.2,655.3,377.3,614.7
2020,1,1,8,47.3,594.6,199.3,517.7
2020,1,1,9,48.9,579.1,110.6,426.6
2020,1,1,10,30.7,466.8,3.6,274.2
2020,1,1,11,27.4,301.4,2.4,93
2020,1,1,12,60.9,110.7,56.2,6.3
2020,1,1,13,20.4,78.9,91.5,3.8
2020,1,1,14,1.6,107.9,103,1.1
2020,1,1,15,0,22.3,39.7,0
2020,1,1,16,2.6,24.6,87.7,0
2020,1,1,17,37.9,10.8,92.3,0.9
2020,1,1,18,46.9,243.2,89.4,276.3
2020,1,1,19,24,375.2,90.4,272.9
2020,1,1,20,24,568.4,81.1,345.6
2020,1,1,21,27.4,636.1,172.9,411.7
2020,1,1,22,6.5,719.2,326.9,376.6
2020,1,1,23,1.3,734.9,256.7,561.3
2020,1,1,24,0.1,729.1,141.1,568.4
2020,1,2,1,0.8,757.1,52.6,630
2020,1,2,2,2.7,753.4,17.4,672.3
2020,1,2,3,11.4,734.3,8.9,661.3
2020,1,2,4,18.3,724.2,7,654
2020,1,2,5,23.6,725.7,11.6,654.4
2020,1,2,6,24.6,748,23.3,666.4
2020,1,2,7,10.3,764.3,16.1,686.7
2020,1,2,8,5.6,764.3,20.5,689.3
2020,1,2,9,3.7,765.3,35.2,683.8
2020,1,2,10,0.8,781.5,33.4,698.6
2020,1,2,11,0,785.8,22.9,713.5
2020,1,2,12,0,776.7,31.8,710.3
2020,1,2,13,0,752.7,79.6,702.2
2020,1,2,14,0,715.3,82.8,699.2
2020,1,2,15,0,730,49,686.9
2020,1,2,16,0,731.5,98.9,695.4
2020,1,2,17,0.6,747.7,219.6,712.3
2020,1,2,18,1.4,754.9,89,712.4
2020,1,2,19,24.8,772,47.5,712.2
2020,1,2,20,25.3,779.9,0,711.2
2020,1,2,21,13.2,747.8,2.9,711.9
2020,1,2,22,10,749.2,175.2,696.7
2020,1,2,23,35.7,786.5,333.2,689.7
2020,1,2,24,51.7,789.9,343,666.6
2020,1,3,1,26.7,779.2,429,658.3
2020,1,3,2,82.8,788.5,563.7,688.5
2020,1,3,3,98.4,781.2,781.3,686.9
2020,1,3,4,132.4,761.7,802.1,675.8
2020,1,3,5,80,768.4,696.5,680.5
2020,1,3,6,108.9,754.6,658.7,677.8
2020,1,3,7,107.8,721.8,776.2,666.2
2020,1,3,8,106.7,671.1,790.7,694.4
2020,1,3,9,116.3,563.3,721.2,690.1
2020,1,3,10,83,551,639.7,690.3
2020,1,3,11,65,619.9,567.8,647.2
2020,1,3,12,114.7,680.2,567.8,698.7
2020,1,3,13,58.8,568.7,598.4,523.4
2020,1,3,14,86.1,575.8,688.7,500.1
2020,1,3,15,82.9,535.6,585.5,481.8
2020,1,3,16,72.8,465,524.2,491.6
2020,1,3,17,73.1,526.7,537.6,177.5
2020,1,3,18,79,87.5,329.9,10.9
2020,1,3,19,96.5,123.8,286.6,30.1
2020,1,3,20,92.5,264.8,294.6,96.9
2020,1,3,21,118.7,400.4,303.2,389.5
2020,1,3,22,113.8,513.5,330.4,404.6
2020,1,3,23,120.2,497.4,315.2,354.7
2020,1,3,24,79.7,219.7,357,414.1
2020,1,4,1,28.5,52.6,195.5,198.8
2020,1,4,2,30.6,63.5,94.5,77.5
2020,1,4,3,23.6,60.1,32.5,33.4
2020,1,4,4,46.9,73.7,53.4,28.5
2020,1,4,5,41.4,54.9,154.6,60
2020,1,4,6,23.1,72.7,108.3,85.3
2020,1,4,7,18.8,55.9,31.1,82.2
2020,1,4,8,20.6,26.4,99.3,70.8
2020,1,4,9,2.6,15.2,90.9,86.4
2020,1,4,10,0,45.4,12.9,101.7
2020,1,4,11,0,108.7,0,48.2
2020,1,4,12,0,169.5,8.9,121.2
2020,1,4,13,4.9,155.7,131.2,243.6
2020,1,4,14,60.3,159.5,344.6,255.6
2020,1,4,15,65,358.7,496.6,452.7
2020,1,4,16,76.6,304.8,386,441.7
2020,1,4,17,37.9,154.4,161.5,403.3
2020,1,4,18,37.8,554.6,327.2,88.9
2020,1,4,19,105.5,409.6,395.6,557.4
2020,1,4,20,137.3,614.2,602.7,591.2
2020,1,4,21,142.9,740.1,822.5,574.5
2020,1,4,22,147,774.4,835.8,706.1
2020,1,4,23,147,796.3,833.3,713.5
2020,1,4,24,147.4,799.1,839.2,577.2
2020,1,5,1,146.8,799.1,836.4,587.3
2020,1,5,2,147,798.4,839.9,627.5
2020,1,5,3,147.6,799,838.8,602.4
2020,1,5,4,146.6,799.1,840.7,613.1
2020,1,5,5,147.5,797.2,839.7,599.4
2020,1,5,6,147.2,768.4,834.2,630.4
2020,1,5,7,147.1,729.5,828.3,696.8
2020,1,5,8,146.6,703.7,807.5,670.3
2020,1,5,9,145.5,632.8,761.8,663.9
2020,1,5,10,146.2,755,715.8,703.3
2020,1,5,11,140.3,762,554.4,648.4
2020,1,5,12,101.9,628.3,262,628.7
2020,1,5,13,78.4,561.4,313,590.8
2020,1,5,14,70.4,443,299.3,507.3
2020,1,5,15,51.1,479.6,291.4,581.4
2020,1,5,16,53.6,357.2,352.1,433.4
2020,1,5,17,44.2,249.7,348.1,279.9
2020,1,5,18,83.6,95.7,162,0
2020,1,5,19,77.5,136.5,142.6,3.9
2020,1,5,20,66.9,141.3,264.3,26.2
2020,1,5,21,20.7,176,172.8,419.8
2020,1,5,22,14.5,174.1,122.2,563.4
2020,1,5,23,39,362,162.6,539.6
2020,1,5,24,86.6,477.9,286.8,658.3
2020,1,6,1,104,638.4,543.1,650.2
2020,1,6,2,117.3,570.2,635.4,650.9
2020,1,6,3,130,601.8,609.1,667.2
2020,1,6,4,135.1,721.6,723.3,661.2
2020,1,6,5,123.1,747.2,707.6,651
2020,1,6,6,104.4,745,765.6,649.7
2020,1,6,7,96.5,684.6,791.6,639.2
2020,1,6,8,94.5,705.5,804.7,645.6
2020,1,6,9,100.3,769.8,810.8,672.2
2020,1,6,10,132.4,790.9,809.8,695.1
2020,1,6,11,145.3,793.5,716.4,705.7
2020,1,6,12,143.2,784.3,669.9,704.1
2020,1,6,13,136,769.6,599.5,697.1
2020,1,6,14,123.1,761.4,498.4,688.3
2020,1,6,15,130.7,759.6,464.2,670.5
2020,1,6,16,143.2,723.5,521.7,664.4
2020,1,6,17,130.1,686.8,615.4,664.1
2020,1,6,18,137.2,689.3,558.6,657.7
2020,1,6,19,128,686.4,547.1,656.2
2020,1,6,20,137.8,670.4,518,661
2020,1,6,21,134.8,660.5,558.5,667.9
2020,1,6,22,145,740.1,582,678.7
2020,1,6,23,147.6,789.7,481,700.3
2020,1,6,24,148.1,799.1,462.1,712.2
2020,1,7,1,148,799.1,619,713.5
2020,1,7,2,147.7,789.9,782.8,711.7
2020,1,7,3,147,796,829.1,711.4
2020,1,7,4,146.9,796.9,833.8,709.2
2020,1,7,5,146.4,796.4,836.6,707.3
2020,1,7,6,145.5,796.7,836.6,701.9
2020,1,7,7,147.1,796.2,838.8,710.8
2020,1,7,8,147.2,795.7,837.8,704.6
2020,1,7,9,148,793.6,838.7,701.4
2020,1,7,10,147.6,793.9,823.2,703.9
2020,1,7,11,138.5,794.2,768.5,709.4
2020,1,7,12,142.4,781.9,756.4,709.1
2020,1,7,13,146.8,775.1,757.6,705.9
2020,1,7,14,146.2,783.2,746.4,704.4
2020,1,7,15,144.1,788.8,776.5,709
2020,1,7,16,146.2,787,798.8,709.4
2020,1,7,17,146.6,787.3,794.9,713.2
2020,1,7,18,140.9,798.3,758.1,713.5
2020,1,7,19,147.2,798.7,831.3,713.5
2020,1,7,20,145.7,796.4,836.3,713.5
2020,1,7,21,146.1,795.9,836.9,713.3
2020,1,7,22,137.1,746.7,837.2,709.3
2020,1,7,23,142.1,797.9,822.3,713.2
2020,1,7,24,145.3,767,708,711.5
2020,1,8,1,133.1,543.5,620.4,614.3
2020,1,8,2,99.3,771.7,612,696
2020,1,8,3,69.1,788.3,636,698
2020,1,8,4,93.1,577,685.9,529.4
2020,1,8,5,100.6,326.6,520.7,274.9
2020,1,8,6,107.2,363.1,665.7,68.4
2020,1,8,7,141,312.8,837.6,69
2020,1,8,8,148,397.7,843.1,442.8
2020,1,8,9,148.2,662.9,847,649.8
2020,1,8,10,148.3,786.7,847,622.5
2020,1,8,11,148.3,798.9,838.1,655.8
2020,1,8,12,145.1,788.1,838.4,713.5
2020,1,8,13,145.7,789.4,845.4,713.5
2020,1,8,14,146,798.5,843.6,713.5
2020,1,8,15,147.1,799,839.2,713.5
2020,1,8,16,146.5,796,837.9,709.2
2020,1,8,17,147,788.6,835.3,711
2020,1,8,18,147.8,797.5,843.4,713.5
2020,1,8,19,147.7,797.8,841.2,705.3
2020,1,8,20,147.2,798.9,788.8,704.2
2020,1,8,21,145.2,798.1,776.4,708.1
2020,1,8,22,145.4,799.1,778.4,710.1
2020,1,8,23,146.8,794.9,729,707.2
2020,1,8,24,147,791.6,723.7,712.5
2020,1,9,1,146.8,793.8,733.9,712.9
2020,1,9,2,146.2,790.7,674.5,713.5
2020,1,9,3,147.8,789.2,748.8,713.5
2020,1,9,4,147.6,789.3,744.7,713.5
2020,1,9,5,147.3,787.3,684.8,713.5
2020,1,9,6,147,785.7,607.4,712.1
2020,1,9,7,147.2,784.9,509.9,701.4
2020,1,9,8,147.4,777.9,433.2,668
2020,1,9,9,146.5,743,388.8,597.3
2020,1,9,10,144.6,696,376.7,567.3
2020,1,9,11,126.8,508.4,298.2,286.8
2020,1,9,12,81.3,293.4,278.4,84.1
2020,1,9,13,44.3,134,182.2,129.1
2020,1,9,14,27.4,42.4,176.3,146.4
2020,1,9,15,10.8,28.2,106,85.6
2020,1,9,16,5.2,131,79.8,118.7
2020,1,9,17,9.2,138.3,76.2,128.9
2020,1,9,18,14.1,328.1,0,121.6
2020,1,9,19,30.3,685.7,2.9,531.6
2020,1,9,20,63.6,669.7,66.8,669
2020,1,9,21,82.9,633.3,212.6,665
2020,1,9,22,117.2,634.7,339.3,654.8
2020,1,9,23,112.7,676,253.2,653.5
2020,1,9,24,122.2,667.6,378.8,652.4
2020,1,10,1,112.5,635.2,597,658.5
2020,1,10,2,87,636.8,637.9,657
2020,1,10,3,101.8,685.3,505.8,657.3
2020,1,10,4,101.7,686.5,336.4,664.1
2020,1,10,5,79.5,705.4,301.1,659.3
2020,1,10,6,46.3,741,351.6,664.9
2020,1,10,7,28.5,772.5,494.8,682.1
2020,1,10,8,52.1,757.8,513.4,702.1
2020,1,10,9,87.9,724.6,587.7,695.4
2020,1,10,10,92,724,659.3,688
2020,1,10,11,86.3,716.5,595.2,688.8
2020,1,10,12,75.2,659.6,535.4,691.9
2020,1,10,13,75.7,615.4,424.7,694.8
2020,1,10,14,90.4,594.4,278.1,686.7
2020,1,10,15,110.7,557,204.5,682.4
2020,1,10,16,93.5,592.3,120.8,684.8
2020,1,10,17,77.5,737.2,0,704.6
2020,1,10,18,0,799.1,0,712.4
2020,1,10,19,0,783,152.5,711.8
2020,1,10,20,12.5,626.7,395.5,712.1
2020,1,10,21,52.5,390.4,377.2,712.4
2020,1,10,22,35,335.6,311.6,647.7
2020,1,10,23,55.3,752.4,329.1,658.4
2020,1,10,24,58.4,688.7,332.9,690.8
2020,1,11,1,29.5,626.9,210.2,679.7
2020,1,11,2,19,518.7,171.7,688.7
2020,1,11,3,15.7,544.6,176.2,693
2020,1,11,4,41.5,598.4,278.1,687.7
2020,1,11,5,42.4,486.5,183.9,683.7
2020,1,11,6,31.8,348.6,213,582.8
2020,1,11,7,14,337.3,172.1,259.3
2020,1,11,8,8.7,178.9,53.8,38.4
2020,1,11,9,6.7,113.6,37.2,45.2
2020,1,11,10,3.3,120,13.4,52.6
2020,1,11,11,0,143.5,0,44.9
2020,1,11,12,13.8,152.4,136.1,18.6
2020,1,11,13,47.8,152,337.3,68
2020,1,11,14,70.4,147.7,361.4,153.8
2020,1,11,15,105.6,154,293.8,137.3
2020,1,11,16,111.2,201.5,218.4,135.5
2020,1,11,17,133.1,266.1,200.8,235.3
2020,1,11,18,102,240.9,219.6,360.5
2020,1,11,19,37.7,333.4,265.4,534.8
2020,1,11,20,25.5,380.6,357.3,510.5
2020,1,11,21,14.6,451.7,553.7,631.4
2020,1,11,22,55.3,343.6,613.5,575.5
2020,1,11,23,34.7,653.8,669,590.1
2020,1,11,24,50.3,572,614.4,648.2
2020,1,12,1,71.6,632.4,664.3,661.3
2020,1,12,2,63.8,644.7,520,694.6
2020,1,12,3,73.8,699.1,720.6,687.7
2020,1,12,4,81.2,773.4,690.6,710.4
2020,1,12,5,74.2,737.6,629.2,710.2
2020,1,12,6,78.9,742.3,575.5,709.7
2020,1,12,7,72.4,724.9,576.3,678.1
2020,1,12,8,72.5,738.4,482.5,674.6
2020,1,12,9,67.4,728.4,452.5,659.5
2020,1,12,10,70.4,740.8,455.8,653.3
2020,1,12,11,71.3,693.2,348.6,616.9
2020,1,12,12,52.8,690.5,230.3,574.3
2020,1,12,13,43.3,655.1,182.8,578.9
2020,1,12,14,43.5,626.1,129.5,587.5
2020,1,12,15,43,600.1,156.1,574
2020,1,12,16,42.1,571.1,207.7,563.5
2020,1,12,17,29.9,585.2,234.4,581.3
2020,1,12,18,60.3,570.3,197.4,602.7
2020,1,12,19,73.3,602.1,368.6,542.1
2020,1,12,20,61.6,496.3,628.8,545.2
2020,1,12,21,35,478.2,596.3,494.4
2020,1,12,22,30.6,523.8,574.9,442.3
2020,1,12,23,55.8,529.8,537.6,421.4
2020,1,12,24,68.8,528.3,387.7,418.7
2020,1,13,1,81,476.7,447.7,450.2
2020,1,13,2,109.5,459.1,649.9,431.4
2020,1,13,3,128.9,506.7,472.4,444.1
2020,1,13,4,141.9,647.2,433.2,531.2
2020,1,13,5,113.5,596.1,452.1,443.9
2020,1,13,6,140.9,493,489.4,341.3
2020,1,13,7,87.7,415,269.9,308.9
2020,1,13,8,86.7,355.3,179.9,306.1
2020,1,13,9,33.6,237,96.8,321.6
2020,1,13,10,25.4,218.6,149.1,156.4
2020,1,13,11,45.3,138.5,237.5,177.9
2020,1,13,12,6.4,72,286,129.7
2020,1,13,13,15.5,75.7,160.8,236.2
2020,1,13,14,28.9,78.1,157.7,206
2020,1,13,15,89.2,94.1,205.4,346.7
2020,1,13,16,73.5,186.2,222.9,505.2
2020,1,13,17,104.9,335.4,477,505.8
2020,1,13,18,145.2,643.6,629.6,669.1
2020,1,13,19,140.8,743.7,692.3,648.7
2020,1,13,20,50,485.8,778.1,647.2
2020,1,13,21,54,711.2,752.6,672.7
2020,1,13,22,81.4,702.7,808.9,663.3
2020,1,13,23,34.7,676.5,772.3,650
2020,1,13,24,64.4,784.7,776.6,666.9
2020,1,14,1,115.8,778.2,596.5,691.7
2020,1,14,2,129.2,768.1,681.6,690.7
2020,1,14,3,147.9,788.1,766.2,695.1
2020,1,14,4,146.5,796.5,834.2,701.5
2020,1,14,5,147.8,795.7,842.1,696
2020,1,14,6,147.9,791.5,790.5,706.5
2020,1,14,7,147.1,790.9,540.2,706.7
2020,1,14,8,145.6,793.1,548.8,704.8
2020,1,14,9,145.8,793.7,724.8,711.1
2020,1,14,10,144.1,791.6,759.4,711
2020,1,14,11,136.4,790,792.8,711.1
2020,1,14,12,135.6,787.9,689.1,713.5
2020,1,14,13,132.7,771.4,604.5,713.3
2020,1,14,14,124,734,587.1,670.1
2020,1,14,15,124.5,733,400,599.4
2020,1,14,16,117.5,706.3,377.3,616
2020,1,14,17,72.1,722.6,333.3,518.1
2020,1,14,18,13.1,0,9.2,453.4
2020,1,14,19,115.9,0,32,435.1
2020,1,14,20,134.9,0,82.6,399.3
2020,1,14,21,141.7,32.4,194,468.8
2020,1,14,22,63.8,267.4,151.6,292.1
2020,1,14,23,73.5,391.8,357.1,258.1
2020,1,14,24,90.1,289.9,407.9,312.8
2020,1,15,1,106.5,392.2,503.5,467.1
2020,1,15,2,67.1,374.4,471.7,440.5
2020,1,15,3,52.1,553.8,519.4,643.3
2020,1,15,4,73.2,593.6,316,621.7
2020,1,15,5,32.6,451,202.3,459.1
2020,1,15,6,23.6,496.9,14.4,198.6
2020,1,15,7,32.7,555.4,153.5,353.8
2020,1,15,8,75.3,474.7,242.6,382.4
2020,1,15,9,79.2,451.3,358.4,416.5
2020,1,15,10,84.2,431.5,319.9,353.6
2020,1,15,11,89.6,280.9,312,309.8
2020,1,15,12,41,254.2,352.9,215.9
2020,1,15,13,40.3,281.4,282.8,131.2
2020,1,15,14,24.6,313.2,247.1,151.8
2020,1,15,15,43.8,252.6,266.4,88.5
2020,1,15,16,32.1,201.9,280.2,65.3
2020,1,15,17,19,179.2,154.5,84.9
2020,1,15,18,0,20.6,0,0
2020,1,15,19,0,0,0,0
2020,1,15,20,0,4.6,0,0
2020,1,15,21,0,0,0,0
2020,1,15,22,34.2,0,7.9,0
2020,1,15,23,0,13.2,0,0
2020,1,15,24,0,65.6,0,9.7
2020,1,16,1,0,38.2,0,4.2
2020,1,16,2,24.1,49.8,0,4.5
2020,1,16,3,63.4,160.6,0.7,66.7
2020,1,16,4,55.8,224.7,232.3,192.1
2020,1,16,5,50,225.2,278.6,214
2020,1,16,6,66.5,368.9,83.5,266.8
2020,1,16,7,40.5,519.2,7.9,324.9
2020,1,16,8,25.6,559.8,2.5,422.5
2020,1,16,9,40.2,600.7,23.9,554.2
2020,1,16,10,48.5,527.3,29.9,598.1
2020,1,16,11,94,500.2,62.9,400.9
2020,1,16,12,88.9,433,18.6,328.6
2020,1,16,13,82.4,391.1,59.2,276.6
2020,1,16,14,85.3,305.8,110.9,329.3
2020,1,16,15,56.6,309.9,288.5,210.4
2020,1,16,16,48.2,408.3,296.7,220.1
2020,1,16,17,77.8,430.7,370.8,225.4
2020,1,16,18,120.8,470.2,438.9,258.6
2020,1,16,19,143.4,505.5,582.2,467.2
2020,1,16,20,144.1,669,644.5,558.2
2020,1,16,21,141.3,649.9,765.3,553.6
2020,1,16,22,136.6,691,785.4,444.9
2020,1,16,23,144.8,729.5,806,603.2
2020,1,16,24,143.5,757.9,746,676.8
2020,1,17,1,140.7,774.8,781.3,666.2
2020,1,17,2,145.8,759.2,829.8,675.9
2020,1,17,3,138.2,785.4,793.3,616.3
2020,1,17,4,147.6,788.4,834.5,665.1
2020,1,17,5,146.7,796.3,800.9,689.2
2020,1,17,6,142.3,792.9,695.3,685
2020,1,17,7,145.2,790.4,791.4,687.8
2020,1,17,8,141.3,785.2,786,673.9
2020,1,17,9,138.7,790.7,771.2,666
2020,1,17,10,145,795.7,822.1,680.6
2020,1,17,11,143.3,779.2,774.2,663.5
2020,1,17,12,143.6,791,792.6,677.7
2020,1,17,13,147.9,789.5,828.7,698.3
2020,1,17,14,147.6,794.5,749.9,699.2
2020,1,17,15,139.9,792.1,713.7,684.2
2020,1,17,16,146.3,787.5,802,702.3
2020,1,17,17,126,768.9,488,707.3
2020,1,17,18,144.6,756.3,755.6,679.8
2020,1,17,19,142.1,768,687.2,692.9
2020,1,17,20,139,762.2,772.9,688
2020,1,17,21,140.8,710.4,665.6,674.8
2020,1,17,22,143.4,692.8,631.1,676.3
2020,1,17,23,130.5,687.5,496.8,654.8
2020,1,17,24,90.7,709.9,472.5,668.7
2020,1,18,1,74.4,708.6,555.2,664.4
2020,1,18,2,69.2,687.9,359.7,662.5
2020,1,18,3,41,716.6,225.8,680.9
2020,1,18,4,25.3,580.8,143.3,671.1
