Generator Name,bus of connection,Max Capacity (MW),Commit,Data File of Commit,Scenario of Commit,Heat Rate Base (MMBTU/hr),Heat Rate Inc Band 1 (BTU/kWh),Heat Rate Inc Band 2 (BTU/kWh),Heat Rate Inc Band 3 (BTU/kWh),Heat Rate Inc Band 4 (BTU/kWh),Heat Rate Inc Band 5 (BTU/kWh),Load Point Band 1 (MW),Load Point Band 2 (MW),Load Point Band 3 (MW),Load Point Band 4 (MW),Load Point Band 5 (MW),Escalator of Load Point (all bands),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Escalator of Min Stable Level,Start Cost ($),VO&M Charge ($/MWh),Rating,Escalator of rating,Committed in following market in PLEXOS
Biomass 01,bus012,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 01,0.42,0.42,1,1,0.9,Biomass 01,15.9,1.91,3,Biomass 1,DA
Biomass 02,bus012,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 02,0.42,0.42,1,1,0.9,Biomass 02,15.9,1.91,3,Biomass 2,DA
Biomass 03,bus103,1.2,0,DA UC,RT,4.36,12120,,,,,1.2,,,,,Biomass 03,0.42,0.42,1,1,0.36,Biomass 03,6.36,1.91,1.2,Biomass 3,DA
Biomass 04,bus103,1.2,0,DA UC,RT,4.36,12120,,,,,1.2,,,,,Biomass 04,0.42,0.42,1,1,0.36,Biomass 04,6.36,1.91,1.2,Biomass 4,DA
Biomass 05,bus012,1.3,0,DA UC,RT,4.73,12120,,,,,1.3,,,,,Biomass 05,0.42,0.42,6,6,0.26,Biomass 05,6.89,1.91,1.3,Biomass 5,DA
Biomass 06,bus012,1.3,0,DA UC,RT,4.73,12120,,,,,1.3,,,,,Biomass 06,0.42,0.42,6,6,0.26,Biomass 06,6.89,1.91,1.3,Biomass 6,DA
Biomass 07,bus012,3,0,DA UC,RT,10.91,12120,,,,,3,,,,,Biomass 07,0.42,0.42,6,6,0.6,Biomass 07,15.9,1.91,3,Biomass 7,DA
Biomass 08,bus012,1.35,0,DA UC,RT,4.91,12120,,,,,1.35,,,,,Biomass 08,0.42,0.42,6,6,0.27,Biomass 08,7.16,1.91,1.35,Biomass 8,DA
Biomass 09,bus012,1.35,0,DA UC,RT,4.91,12120,,,,,1.35,,,,,Biomass 09,0.42,0.42,6,6,0.27,Biomass 09,7.16,1.91,1.35,Biomass 9,DA
Biomass 10,bus012,1.35,0,DA UC,RT,4.91,12120,,,,,1.35,,,,,Biomass 10,0.42,0.42,6,6,0.27,Biomass 10,7.16,1.91,1.35,Biomass 10,DA
Biomass 11,bus012,0.71,0,DA UC,RT,2.58,12120,,,,,0.71,,,,,Biomass 11,0.42,0.42,6,6,0.14,Biomass 11,3.76,1.91,0.71,Biomass 11,DA
Biomass 12,bus012,0.71,0,DA UC,RT,2.58,12120,,,,,0.71,,,,,Biomass 12,0.42,0.42,6,6,0.14,Biomass 12,3.76,1.91,0.71,Biomass 12,DA
Biomass 13,bus012,0.71,0,DA UC,RT,2.58,12120,,,,,0.71,,,,,Biomass 13,0.42,0.42,6,6,0.14,Biomass 13,3.76,1.91,0.71,Biomass 13,DA
Biomass 14,bus012,1.57,0,DA UC,RT,5.71,12120,,,,,1.57,,,,,Biomass 14,0.42,0.42,6,6,0.31,Biomass 14,8.32,1.91,1.57,Biomass 14,DA
Biomass 15,bus012,0.65,0,DA UC,RT,2.36,12120,,,,,0.65,,,,,Biomass 15,0.42,0.42,6,6,0.13,Biomass 15,3.45,1.91,0.65,Biomass 15,DA
Biomass 16,bus012,0.65,0,DA UC,RT,2.36,12120,,,,,0.65,,,,,Biomass 16,0.42,0.42,6,6,0.13,Biomass 16,3.45,1.91,0.65,Biomass 16,DA
Biomass 17,bus012,0.65,0,DA UC,RT,2.36,12120,,,,,0.65,,,,,Biomass 17,0.42,0.42,6,6,0.13,Biomass 17,3.45,1.91,0.65,Biomass 17,DA
Biomass 18,bus012,0.65,0,DA UC,RT,2.36,12120,,,,,0.65,,,,,Biomass 18,0.42,0.42,6,6,0.13,Biomass 18,3.45,1.91,0.65,Biomass 18,DA
Biomass 19,bus012,0.45,0,DA UC,RT,1.64,12120,,,,,0.45,,,,,Biomass 19,0.42,0.42,6,6,0.09,Biomass 19,2.39,1.91,0.45,Biomass 19,DA
Biomass 20,bus012,0.45,0,DA UC,RT,1.64,12120,,,,,0.45,,,,,Biomass 20,0.42,0.42,6,6,0.09,Biomass 20,2.39,1.91,0.45,Biomass 20,DA
Biomass 21,bus012,0.45,0,DA UC,RT,1.64,12120,,,,,0.45,,,,,Biomass 21,0.42,0.42,6,6,0.09,Biomass 21,2.39,1.91,0.45,Biomass 21,DA
Biomass 22,bus012,0.45,0,DA UC,RT,1.64,12120,,,,,0.45,,,,,Biomass 22,0.42,0.42,6,6,0.09,Biomass 22,2.39,1.91,0.45,Biomass 22,DA
Biomass 23,bus012,1,0,DA UC,RT,3.64,12120,,,,,1,,,,,Biomass 23,0.42,0.42,6,6,0.2,Biomass 23,5.3,1.91,1,Biomass 23,DA
Biomass 24,bus012,1,0,DA UC,RT,3.64,12120,,,,,1,,,,,Biomass 24,0.42,0.42,6,6,0.2,Biomass 24,5.3,1.91,1,Biomass 24,DA
