Line,Node From,Node To,Region node from,Region node to,Is line crossing regions? (1=yes),Line capacity of inter-regional lines
line001,node001,node002,R1,R1,0,NA
line002,node001,node003,R1,R1,0,NA
line003,node004,node005,R1,R1,0,NA
line004,node003,node005,R1,R1,0,NA
line005,node005,node006,R1,R1,0,NA
line006,node006,node007,R1,R1,0,NA
line007,node008,node009,R1,R1,0,NA
line008,node008,node005,R1,R1,0,NA
line009,node009,node010,R1,R1,0,NA
line010,node004,node011,R1,R1,0,NA
line011,node005,node011,R1,R1,0,NA
line012,node011,node012,R1,R1,0,NA
line013,node002,node012,R1,R1,0,NA
line014,node003,node012,R1,R1,0,NA
line015,node007,node012,R1,R1,0,NA
line016,node011,node013,R1,R1,0,NA
line017,node012,node014,R1,R1,0,NA
line018,node013,node015,R1,R1,0,NA
line019,node014,node015,R1,R1,0,NA
line020,node012,node016,R1,R1,0,NA
line021,node015,node017,R1,R1,0,NA
line022,node016,node017,R1,R1,0,NA
line023,node017,node018,R1,R1,0,NA
line024,node018,node019,R1,R1,0,NA
line025,node019,node020,R1,R1,0,NA
line026,node015,node019,R1,R1,0,NA
line027,node020,node021,R1,R1,0,NA
line028,node021,node022,R1,R1,0,NA
line029,node022,node023,R1,R1,0,NA
line030,node023,node024,R1,R1,0,NA
line031,node023,node025,R1,R1,0,NA
line032,node026,node025,R1,R1,0,NA
line033,node025,node027,R1,R1,0,NA
line034,node027,node028,R1,R1,0,NA
line035,node028,node029,R1,R1,0,NA
line036,node030,node017,R1,R1,0,NA
line037,node008,node030,R1,R1,0,NA
line038,node026,node030,R1,R1,0,NA
line039,node017,node031,R1,R1,0,NA
line040,node029,node031,R1,R1,0,NA
line041,node023,node032,R1,R1,0,NA
line042,node031,node032,R1,R1,0,NA
line043,node027,node032,R1,R1,0,NA
line046,node035,node036,R2,R2,0,NA
line047,node035,node037,R2,R2,0,NA
line048,node033,node037,R2,R2,0,NA
line049,node034,node036,R2,R2,0,NA
line050,node034,node037,R2,R2,0,NA
line051,node038,node037,R2,R2,0,NA
line052,node037,node039,R2,R2,0,NA
line053,node037,node040,R2,R2,0,NA
line055,node039,node040,R2,R2,0,NA
line056,node040,node041,R2,R2,0,NA
line057,node040,node042,R2,R2,0,NA
line058,node041,node042,R2,R2,0,NA
line059,node043,node044,R2,R2,0,NA
line060,node034,node043,R2,R2,0,NA
line061,node044,node045,R2,R2,0,NA
line062,node045,node046,R2,R2,0,NA
line063,node046,node047,R2,R2,0,NA
line064,node046,node048,R2,R2,0,NA
line065,node047,node049,R2,R2,0,NA
line066,node042,node049,R2,R2,0,NA
line067,node042,node049,R2,R2,0,NA
line068,node045,node049,R2,R2,0,NA
line069,node048,node049,R2,R2,0,NA
line070,node049,node050,R2,R2,0,NA
line071,node049,node051,R2,R2,0,NA
line072,node051,node052,R2,R2,0,NA
line073,node052,node053,R2,R2,0,NA
line074,node053,node054,R2,R2,0,NA
line075,node049,node054,R2,R2,0,NA
line076,node049,node054,R2,R2,0,NA
line077,node054,node055,R2,R2,0,NA
line078,node054,node056,R2,R2,0,NA
line079,node055,node056,R2,R2,0,NA
line080,node056,node057,R2,R2,0,NA
line081,node050,node057,R2,R2,0,NA
line082,node056,node058,R2,R2,0,NA
line083,node051,node058,R2,R2,0,NA
line084,node054,node059,R2,R2,0,NA
line085,node056,node059,R2,R2,0,NA
line086,node056,node059,R2,R2,0,NA
line087,node055,node059,R2,R2,0,NA
line088,node059,node060,R2,R2,0,NA
line089,node059,node061,R2,R2,0,NA
line090,node060,node061,R2,R2,0,NA
line091,node060,node062,R2,R2,0,NA
line092,node061,node062,R2,R2,0,NA
line093,node063,node059,R2,R2,0,NA
line094,node063,node064,R2,R2,0,NA
line095,node064,node061,R2,R2,0,NA
line096,node038,node065,R2,R2,0,NA
line097,node064,node065,R2,R2,0,NA
line098,node049,node066,R2,R2,0,NA
line099,node049,node066,R2,R2,0,NA
line100,node062,node066,R2,R2,0,NA
line101,node062,node067,R2,R2,0,NA
line102,node065,node066,R2,R2,0,NA
line103,node066,node067,R2,R2,0,NA
line104,node065,node068,R2,R2,0,NA
line105,node047,node069,R2,R2,0,NA
line106,node049,node069,R2,R2,0,NA
line107,node068,node069,R2,R2,0,NA
line109,node024,node070,R1,R1,0,NA
line110,node070,node071,R1,R1,0,NA
line111,node024,node072,R1,R1,0,NA
line112,node071,node072,R1,R1,0,NA
line113,node071,node073,R1,R1,0,NA
line114,node070,node074,R1,R1,0,NA
line115,node070,node075,R1,R1,0,NA
line117,node074,node075,R1,R1,0,NA
line118,node076,node077,R2,R2,0,NA
line119,node069,node077,R2,R2,0,NA
line121,node077,node078,R2,R2,0,NA
line122,node078,node079,R2,R2,0,NA
line123,node077,node080,R2,R2,0,NA
line124,node077,node080,R2,R2,0,NA
line125,node079,node080,R2,R2,0,NA
line126,node068,node081,R2,R2,0,NA
line127,node081,node080,R2,R2,0,NA
line129,node082,node083,R3,R3,0,NA
line130,node083,node084,R3,R3,0,NA
line131,node083,node085,R3,R3,0,NA
line132,node084,node085,R3,R3,0,NA
line133,node085,node086,R3,R3,0,NA
line134,node086,node087,R3,R3,0,NA
line135,node085,node088,R3,R3,0,NA
line136,node085,node089,R3,R3,0,NA
line137,node088,node089,R3,R3,0,NA
line138,node089,node090,R3,R3,0,NA
line139,node089,node090,R3,R3,0,NA
line140,node090,node091,R3,R3,0,NA
line141,node089,node092,R3,R3,0,NA
line142,node089,node092,R3,R3,0,NA
line143,node091,node092,R3,R3,0,NA
line144,node092,node093,R3,R3,0,NA
line145,node092,node094,R3,R3,0,NA
line146,node093,node094,R3,R3,0,NA
line147,node094,node095,R3,R3,0,NA
line149,node082,node096,R3,R3,0,NA
line150,node094,node096,R3,R3,0,NA
line151,node080,node097,R2,R2,0,NA
line152,node080,node098,R2,R2,0,NA
line153,node080,node099,R2,R2,0,NA
line154,node092,node100,R3,R3,0,NA
line155,node094,node100,R3,R3,0,NA
line156,node095,node096,R3,R3,0,NA
line160,node100,node101,R3,R3,0,NA
line161,node092,node102,R3,R3,0,NA
line162,node101,node102,R3,R3,0,NA
line163,node100,node103,R3,R3,0,NA
line164,node100,node104,R3,R3,0,NA
line165,node103,node104,R3,R3,0,NA
line166,node103,node105,R3,R3,0,NA
line167,node100,node106,R3,R3,0,NA
line168,node104,node105,R3,R3,0,NA
line169,node105,node106,R3,R3,0,NA
line170,node105,node107,R3,R3,0,NA
line171,node105,node108,R3,R3,0,NA
line172,node106,node107,R3,R3,0,NA
line173,node108,node109,R3,R3,0,NA
line174,node103,node110,R3,R3,0,NA
line175,node109,node110,R3,R3,0,NA
line176,node110,node111,R3,R3,0,NA
line177,node110,node112,R3,R3,0,NA
line178,node017,node113,R1,R1,0,NA
line179,node032,node113,R1,R1,0,NA
line180,node032,node114,R1,R1,0,NA
line181,node027,node115,R1,R1,0,NA
line182,node114,node115,R1,R1,0,NA
line183,node068,node116,R2,R2,0,NA
line184,node012,node117,R1,R1,0,NA
line186,node076,node118,R2,R2,0,NA
line044,node015,node033,R1,R2,1,600
line045,node019,node034,R1,R2,1,600
line054,node030,node038,R1,R2,1,600
line108,node069,node070,R2,R1,1,1700
line116,node069,node075,R2,R1,1,1700
line120,node075,node077,R1,R2,1,600
line128,node077,node082,R2,R3,1,700
line148,node080,node096,R2,R3,1,600
line157,node096,node097,R3,R2,1,600
line158,node098,node100,R2,R3,1,600
