,,Kt1,Kt2,Kt3,Kt4,Kt5,Kt6,Kt7,Kt8,Kt9,Kt10,Kt11,Kt12,Kt13,Kt14,Kt15,,,,,,
Sr1,Ktr1,0.001557576,0.002119508,0.002708856,0.003304174,0.003884019,0.004426946,0.004911511,0.00532101,0.005657698,0.005928572,0.006135953,0.006263457,0.006290029,0.006210781,0.006085517,,,,,,
Sr1,Ktr2,0.010377794,0.005773173,0.003103506,0.001983049,0.002026061,0.0028468,0.004059522,0.005305415,0.006333373,0.006919222,0.006927462,0.006577292,0.00617659,0.005968006,0.005933289,,,,,,
Sr1,Ktr3,0.013130862,0.007227268,0.003706936,0.0021,0.001936594,0.002746854,0.004060913,0.005440962,0.006577412,0.007192731,0.007119835,0.006633443,0.006118718,0.00587398,0.005850164,,,,,,1.04
Sr1,Ktr4,0.011643199,0.007138468,0.004442412,0.003199198,0.003052989,0.003647952,0.004628252,0.005661886,0.006512177,0.006966281,0.006895479,0.006507556,0.006094422,0.005881342,0.005826998,,,,,,
Sr1,Ktr5,0.007741222,0.006163449,0.005233203,0.004824815,0.004812616,0.005070936,0.005474106,0.005902421,0.006260033,0.00645706,0.006436798,0.006275278,0.006081711,0.005942728,0.005854645,,,,,,
Sr1,Ktr6,0.00325135,0.004958886,0.006002573,0.006521022,0.006652843,0.006536646,0.006311041,0.006096801,0.005943344,0.00588225,0.005926199,0.006012258,0.006058595,0.006010775,0.005923961,,,,,,
Sr1,Ktr7,0,0.004181455,0.006673791,0.007831991,0.008011041,0.007565925,0.006851625,0.00617926,0.005684472,0.005459038,0.005546085,0.005794141,0.006003083,0.006038121,0.006025802,,,,,,
Sr1,Ktr8,0,0.004329973,0.007178675,0.008402211,0.008456976,0.007799367,0.006885779,0.006105007,0.005575425,0.005347806,0.005433475,0.005685972,0.005919389,0.006024137,0.006195892,,,,,,
Sr1,Ktr9,0.001207475,0.005271829,0.007483267,0.008277439,0.008089991,0.007356575,0.006512839,0.005913155,0.005586788,0.005481729,0.005543828,0.005710383,0.005916557,0.006155137,0.00664943,,,,,,
Sr1,Ktr10,0.004766421,0.006716554,0.00756216,0.007603749,0.007141829,0.006476907,0.005909493,0.005663791,0.005658791,0.005737181,0.005787214,0.005879403,0.006129831,0.006664173,0.007646482,,,,,,
Sr1,Ktr11,0.009197343,0.008319041,0.007424277,0.006591961,0.005901007,0.005430328,0.005258835,0.005416547,0.005737908,0.006008466,0.006099792,0.00622753,0.006693344,0.007738529,0.009362896,,,,,,
Sr1,Ktr12,0.012731738,0.009515637,0.007215851,0.005711866,0.004883168,0.004609243,0.004769576,0.005229233,0.005795592,0.006261609,0.006522077,0.006879136,0.007736764,0.009382437,0.011637637,,,,,,
Sr1,Ktr13,0.013378784,0.009688051,0.007117448,0.005497999,0.00466073,0.004436666,0.004656834,0.005159205,0.005809545,0.006480564,0.007120671,0.007981066,0.009388643,0.011554364,0.01422545,,,,,,
Sr1,Ktr14,0.010022427,0.00851182,0.007256084,0.006268533,0.005562483,0.005151248,0.005048142,0.005266413,0.005819034,0.006718912,0.007981574,0.009633023,0.011701884,0.014181513,0.016924199,,,,,,
Sr1,Ktr15,0.005045692,0.006837787,0.007544593,0.0074762,0.006942697,0.006254171,0.005720711,0.00562119,0.006109606,0.007308744,0.009268366,0.011746157,0.014426783,0.017066034,0.019704211,,,,,,
Sr1,Ktr16,0.001706377,0.005810623,0.007842264,0.008357369,0.007912009,0.007062252,0.00636417,0.006296465,0.007028375,0.008651773,0.011164026,0.014184482,0.017237987,0.019978811,0.022578934,,,,,,
Sr1,Ktr17,0.002133869,0.006135271,0.00801052,0.008388381,0.007897622,0.007167008,0.006825307,0.007374022,0.008805594,0.010985203,0.013749684,0.016822494,0.019898748,0.022763527,0.02556178,,,,,,
Sr1,Ktr18,0.00394391,0.006757754,0.007919327,0.008005462,0.007592991,0.007258746,0.007579561,0.008971065,0.011204071,0.013888188,0.01669908,0.019576621,0.022526737,0.025555059,0.028666032,,,,,,
Sr1,Ktr19,0.003623833,0.006184366,0.007440789,0.007884809,0.008008135,0.008302472,0.00925953,0.011213654,0.013869751,0.01677537,0.019584109,0.022373776,0.02532823,0.028561082,0.031904937,,,,,,
Sr1,Ktr20,0,0.003976605,0.006664767,0.008411233,0.009625796,0.010718246,0.012098376,0.014073645,0.016542184,0.019299792,0.022186187,0.025216773,0.028450872,0.031877133,0.035201501,,,,,,
Sr1,Ktr21,0.000750518,0.003916786,0.006552165,0.008803992,0.010819603,0.012746334,0.014731521,0.016906089,0.019335325,0.022068103,0.02512483,0.028412034,0.031807776,0.035150195,0.038117757,,,,,,
