,Kt1,Kt2,Kt3,Kt4,Kt5,Kt6,Kt7,Kt8,Kt9,Kt10,Kt11,Kt12,Kt13,Kt14,Kt15,Kt16,Kt17,Kt18,Kt19,Kt20,Kt21,Kt22,Kt23,Kt24,Kt25,Kt26,Kt27,Kt28,Kt29,Kt30,Kt31,Kt32,Kt33,Kt34,Kt35,Kt36,Kt37,Kt38,Kt39,Kt40,Kt41,Kt42,Kt43,Kt44
Ktr1,0.001557576,0.002119508,0.002708856,0.003304174,0.003884019,0.004426946,0.004911511,0.00532101,0.005657698,0.005928572,0.006135953,0.006263457,0.006290029,0.006210781,0.006085517,0.005990211,0.005988888,0.006051322,0.009217516,0.025242028,0.041822715,0.046594495,0.04713542,0.047285696,0.037768949,0.009451994,0.044289031,0.113964643,0.181331709,0.581973589,0.816491665,0.847834553,0.835112383,0.806541807,0.777480749,0.726206966,0.639594115,0.488625958,0.28562809,0.215451171,0.15448251,0.099384559,0.215686381,0.024931457
Ktr2,0.010377794,0.005773173,0.003103506,0.001983049,0.002026061,0.0028468,0.004059522,0.005305415,0.006333373,0.006919222,0.006927462,0.006577292,0.00617659,0.005968006,0.005933289,0.005988966,0.005931341,0.006186762,0.012040608,0.028493374,0.041731145,0.0476907,0.047254393,0.048324682,0.031563503,0.012202757,0.050997897,0.113271744,0.213280824,0.60730925,0.820872429,0.85118111,0.830091337,0.80417837,0.771674672,0.719784129,0.630977394,0.468763761,0.278072148,0.211604477,0.143205963,0.117421346,0.192046439,0.098214533
Ktr3,0.013130862,0.007227268,0.003706936,0.0021,0.001936594,0.002746854,0.004060913,0.005440962,0.006577412,0.007192731,0.007119835,0.006633443,0.006118718,0.00587398,0.005850164,0.005911358,0.00590795,0.007333421,0.014646415,0.031842057,0.042223012,0.048144036,0.047209704,0.048311384,0.026568753,0.014522986,0.05697882,0.114348261,0.244566304,0.632671563,0.825922296,0.851991575,0.826591695,0.801904538,0.766689756,0.713233077,0.619902954,0.449378494,0.271507309,0.207379536,0.133806093,0.13295179,0.171682307,0.144783226
Ktr4,0.011643199,0.007138468,0.004442412,0.003199198,0.003052989,0.003647952,0.004628252,0.005661886,0.006512177,0.006966281,0.006895479,0.006507556,0.006094422,0.005881342,0.005826998,0.005823423,0.006070337,0.009247133,0.017152677,0.035068604,0.043126813,0.048134838,0.047095922,0.047247483,0.022539883,0.016538812,0.062578226,0.116532505,0.275783317,0.658141084,0.83139204,0.850966914,0.824193781,0.799668277,0.762406102,0.706536362,0.607306343,0.430256434,0.265744505,0.202930046,0.12569952,0.146923576,0.153918926,0.168414041
Ktr5,0.007741222,0.006163449,0.005233203,0.004824815,0.004812616,0.005070936,0.005474106,0.005902421,0.006260033,0.00645706,0.006436798,0.006275278,0.006081711,0.005942728,0.005854645,0.005791196,0.006570124,0.011683736,0.019677138,0.037953542,0.044271043,0.047843443,0.047007614,0.045134657,0.019232077,0.018376367,0.068142538,0.119162788,0.307527032,0.683798372,0.837032432,0.848808096,0.822477922,0.797417548,0.758703812,0.699676537,0.594123111,0.411183855,0.260594671,0.1984097,0.118302866,0.160284391,0.138081235,0.172883482
Ktr6,0.00325135,0.004958886,0.006002573,0.006521022,0.006652843,0.006536646,0.006311041,0.006096801,0.005943344,0.00588225,0.005926199,0.006012258,0.006058595,0.006010775,0.005923961,0.005880712,0.007558934,0.014399064,0.02233754,0.040277397,0.0454842,0.047450185,0.047039348,0.041974586,0.01640052,0.020161782,0.074018179,0.121577421,0.340392617,0.709723985,0.842594247,0.846216089,0.821024446,0.795100317,0.755462988,0.692636153,0.581288807,0.391947034,0.255868739,0.193972194,0.111032751,0.17398192,0.123494174,0.161968054
Ktr7,0,0.004181455,0.006673791,0.007831991,0.008011041,0.007565925,0.006851625,0.00617926,0.005684472,0.005459038,0.005546085,0.005794141,0.006003083,0.006038121,0.006025802,0.006158007,0.00918839,0.017148955,0.025251625,0.041820696,0.04659478,0.047135401,0.047285693,0.03776895,0.013800395,0.022021188,0.080551573,0.123114714,0.37497524,0.735998481,0.847828257,0.843891862,0.819413677,0.792664546,0.752563733,0.685397764,0.569738981,0.372332247,0.251377644,0.189771223,0.103305796,0.188963849,0.109482682,0.139444262
Ktr8,0,0.004329973,0.007178675,0.008402211,0.008456976,0.007799367,0.006885779,0.006105007,0.005575425,0.005347806,0.005433475,0.005685972,0.005919389,0.006024137,0.006195892,0.006706652,0.011525028,0.019766164,0.028477033,0.0424956,0.047451235,0.04702871,0.047729713,0.032654409,0.011290321,0.024100141,0.087891082,0.123650675,0.411521665,0.762137559,0.85236886,0.842350583,0.817345026,0.79009877,0.749824492,0.677969444,0.559923406,0.352415897,0.246884268,0.185837307,0.094976114,0.205430754,0.09580003,0.111052023
Ktr9,0.001207475,0.005271829,0.007483267,0.008277439,0.008089991,0.007356575,0.006512839,0.005913155,0.005586788,0.005481729,0.005543828,0.005710383,0.005916557,0.006155137,0.00664943,0.007680366,0.01429505,0.022391134,0.031830985,0.042740812,0.047981837,0.047056872,0.047908459,0.027307535,0.009142653,0.026621896,0.095392823,0.125212089,0.448885039,0.785397485,0.855384953,0.841364228,0.814994238,0.787553806,0.746817087,0.670461368,0.550348743,0.333434888,0.24195929,0.181708266,0.087647787,0.220594769,0.083912811,0.090384906
Ktr10,0.004766421,0.006716554,0.00756216,0.007603749,0.007141829,0.006476907,0.005909493,0.005663791,0.005658791,0.005737181,0.005787214,0.005879403,0.006129831,0.006664173,0.007646482,0.009250406,0.017139572,0.025241229,0.035070604,0.043126669,0.048134814,0.047095934,0.04724748,0.022539884,0.007733178,0.029829131,0.10221485,0.130363438,0.485570102,0.802469666,0.855929056,0.840518976,0.812656141,0.785221043,0.743051683,0.663009232,0.539035878,0.316916251,0.236125336,0.176798742,0.08336239,0.230920918,0.075715945,0.092999891
