Escalator,Value,Timeslice (month)
Biomass 1,0.35,M1
Biomass 1,0.3433,M10
Biomass 1,0.3733,M11
Biomass 1,0.3533,M12
Biomass 1,0.37,M2
Biomass 1,0.3333,M3
Biomass 1,0.3333,M4
Biomass 1,0.3367,M5
Biomass 1,0.3433,M6
Biomass 1,0.35,M7
Biomass 1,0.37,M8
Biomass 1,0.3667,M9
Biomass 10,0.5778,M1
Biomass 10,0.5704,M10
Biomass 10,0.6148,M11
Biomass 10,0.5778,M12
Biomass 10,0.637,M2
Biomass 10,0.6074,M3
Biomass 10,0.5481,M4
Biomass 10,0.5556,M5
Biomass 10,0.6444,M6
Biomass 10,0.5778,M7
Biomass 10,0.6074,M8
Biomass 10,0.6074,M9
Biomass 11,0.5352,M1
Biomass 11,0.5352,M10
Biomass 11,0.5493,M11
Biomass 11,0.4789,M12
Biomass 11,0.5211,M2
Biomass 11,0.507,M3
Biomass 11,0.4648,M4
Biomass 11,0.507,M5
Biomass 11,0.493,M6
Biomass 11,0.493,M7
Biomass 11,0.4648,M8
Biomass 11,0.507,M9
Biomass 12,0.5352,M1
Biomass 12,0.5352,M10
Biomass 12,0.5493,M11
Biomass 12,0.4789,M12
Biomass 12,0.5211,M2
Biomass 12,0.507,M3
Biomass 12,0.4648,M4
Biomass 12,0.507,M5
Biomass 12,0.493,M6
Biomass 12,0.493,M7
Biomass 12,0.4648,M8
Biomass 12,0.507,M9
Biomass 13,0.5352,M1
Biomass 13,0.5352,M10
Biomass 13,0.5493,M11
Biomass 13,0.4789,M12
Biomass 13,0.5211,M2
Biomass 13,0.507,M3
Biomass 13,0.4648,M4
Biomass 13,0.507,M5
Biomass 13,0.493,M6
Biomass 13,0.493,M7
Biomass 13,0.4648,M8
Biomass 13,0.507,M9
Biomass 14,0.535,M1
Biomass 14,0.535,M10
Biomass 14,0.5478,M11
Biomass 14,0.4777,M12
Biomass 14,0.5223,M2
Biomass 14,0.5096,M3
Biomass 14,0.465,M4
Biomass 14,0.5096,M5
Biomass 14,0.4968,M6
Biomass 14,0.4904,M7
Biomass 14,0.4713,M8
Biomass 14,0.5096,M9
Biomass 15,0.3077,M1
Biomass 15,0.2923,M10
Biomass 15,0.3231,M11
Biomass 15,0.3077,M12
Biomass 15,0.3231,M2
Biomass 15,0.3231,M3
Biomass 15,0.3385,M4
Biomass 15,0.3231,M5
Biomass 15,0.3231,M6
Biomass 15,0.3231,M7
Biomass 15,0.3385,M8
Biomass 15,0.3231,M9
Biomass 16,0.3077,M1
Biomass 16,0.2923,M10
Biomass 16,0.3231,M11
Biomass 16,0.3077,M12
Biomass 16,0.3231,M2
Biomass 16,0.3231,M3
Biomass 16,0.3385,M4
Biomass 16,0.3231,M5
Biomass 16,0.3231,M6
Biomass 16,0.3231,M7
Biomass 16,0.3385,M8
Biomass 16,0.3231,M9
Biomass 17,0.3077,M1
Biomass 17,0.2923,M10
Biomass 17,0.3231,M11
Biomass 17,0.3077,M12
Biomass 17,0.3231,M2
Biomass 17,0.3231,M3
Biomass 17,0.3385,M4
