Generator,Property,Value,Units,Band,Date From,Date To,Timeslice,Escalator,Data File,Scenario,Memo,Category
Hydro 16,Fixed Load,0,MW,1,,,,,Hydro 16,,,Hydro
Hydro 17,Fixed Load,0,MW,1,,,,,Hydro 17,,,Hydro
Hydro 18,Fixed Load,0,MW,1,,,,,Hydro 18,,,Hydro
Hydro 19,Fixed Load,0,MW,1,,,,,Hydro 19,,,Hydro
Hydro 20,Fixed Load,0,MW,1,,,,,Hydro 20,,,Hydro
Hydro 21,Fixed Load,0,MW,1,,,,,Hydro 21,,,Hydro
Hydro 22,Fixed Load,0,MW,1,,,,,Hydro 22,,,Hydro
Hydro 23,Fixed Load,0,MW,1,,,,,Hydro 23,,,Hydro
Hydro 24,Fixed Load,0,MW,1,,,,,Hydro 24,,,Hydro
Hydro 25,Fixed Load,0,MW,1,,,,,Hydro 25,,,Hydro
Hydro 26,Fixed Load,0,MW,1,,,,,Hydro 26,,,Hydro
Hydro 27,Fixed Load,0,MW,1,,,,,Hydro 27,,,Hydro
Hydro 28,Fixed Load,0,MW,1,,,,,Hydro 28,,,Hydro
Hydro 29,Fixed Load,0,MW,1,,,,,Hydro 29,,,Hydro
Hydro 30,Fixed Load,0,MW,1,,,,,Hydro 30,,,Hydro
Hydro 31,Fixed Load,0,MW,1,,,,,Hydro 31,,,Hydro
Hydro 32,Fixed Load,0,MW,1,,,,,Hydro 32,,,Hydro
Hydro 33,Fixed Load,0,MW,1,,,,,Hydro 33,,,Hydro
Hydro 34,Fixed Load,0,MW,1,,,,,Hydro 34,,,Hydro
Hydro 35,Fixed Load,0,MW,1,,,,,Hydro 35,,,Hydro
Hydro 36,Fixed Load,0.51,MW,1,,,M1,,,,,Hydro
Hydro 36,Fixed Load,0.43,MW,1,,,M10,,,,,Hydro
Hydro 36,Fixed Load,0.41,MW,1,,,M11,,,,,Hydro
Hydro 36,Fixed Load,0.41,MW,1,,,M12,,,,,Hydro
Hydro 36,Fixed Load,0.54,MW,1,,,M2,,,,,Hydro
Hydro 36,Fixed Load,0.56,MW,1,,,M3,,,,,Hydro
Hydro 36,Fixed Load,0.69,MW,1,,,M4,,,,,Hydro
Hydro 36,Fixed Load,0.9,MW,1,,,M5,,,,,Hydro
Hydro 36,Fixed Load,0.93,MW,1,,,M6,,,,,Hydro
Hydro 36,Fixed Load,0.9,MW,1,,,M7,,,,,Hydro
Hydro 36,Fixed Load,0.79,MW,1,,,M8,,,,,Hydro
Hydro 36,Fixed Load,0.59,MW,1,,,M9,,,,,Hydro
Hydro 37,Fixed Load,2.23,MW,1,,,M1,,,,,Hydro
Hydro 37,Fixed Load,1.89,MW,1,,,M10,,,,,Hydro
Hydro 37,Fixed Load,1.79,MW,1,,,M11,,,,,Hydro
Hydro 37,Fixed Load,1.81,MW,1,,,M12,,,,,Hydro
Hydro 37,Fixed Load,2.36,MW,1,,,M2,,,,,Hydro
Hydro 37,Fixed Load,2.43,MW,1,,,M3,,,,,Hydro
Hydro 37,Fixed Load,3.01,MW,1,,,M4,,,,,Hydro
Hydro 37,Fixed Load,3.96,MW,1,,,M5,,,,,Hydro
Hydro 37,Fixed Load,4.06,MW,1,,,M6,,,,,Hydro
Hydro 37,Fixed Load,3.93,MW,1,,,M7,,,,,Hydro
Hydro 37,Fixed Load,3.44,MW,1,,,M8,,,,,Hydro
Hydro 37,Fixed Load,2.56,MW,1,,,M9,,,,,Hydro
Hydro 38,Fixed Load,0,MW,1,,,M1,,,,,Hydro
Hydro 38,Fixed Load,0.05,MW,1,,,M10,,,,,Hydro
Hydro 38,Fixed Load,0,MW,1,,,M11,,,,,Hydro
Hydro 38,Fixed Load,0,MW,1,,,M12,,,,,Hydro
Hydro 38,Fixed Load,0.13,MW,1,,,M2,,,,,Hydro
Hydro 38,Fixed Load,0.22,MW,1,,,M3,,,,,Hydro
Hydro 38,Fixed Load,0.3,MW,1,,,M4,,,,,Hydro
Hydro 38,Fixed Load,0.26,MW,1,,,M5,,,,,Hydro
Hydro 38,Fixed Load,0.26,MW,1,,,M6,,,,,Hydro
Hydro 38,Fixed Load,0.31,MW,1,,,M7,,,,,Hydro
Hydro 38,Fixed Load,0.24,MW,1,,,M8,,,,,Hydro
Hydro 38,Fixed Load,0.14,MW,1,,,M9,,,,,Hydro
Hydro 39,Fixed Load,0,MW,1,,,M1,,,,,Hydro
Hydro 39,Fixed Load,0.05,MW,1,,,M10,,,,,Hydro
Hydro 39,Fixed Load,0,MW,1,,,M11,,,,,Hydro
Hydro 39,Fixed Load,0,MW,1,,,M12,,,,,Hydro
Hydro 39,Fixed Load,0.13,MW,1,,,M2,,,,,Hydro
Hydro 39,Fixed Load,0.22,MW,1,,,M3,,,,,Hydro
Hydro 39,Fixed Load,0.3,MW,1,,,M4,,,,,Hydro
Hydro 39,Fixed Load,0.26,MW,1,,,M5,,,,,Hydro
Hydro 39,Fixed Load,0.26,MW,1,,,M6,,,,,Hydro
Hydro 39,Fixed Load,0.31,MW,1,,,M7,,,,,Hydro
Hydro 39,Fixed Load,0.24,MW,1,,,M8,,,,,Hydro
Hydro 39,Fixed Load,0.14,MW,1,,,M9,,,,,Hydro
Hydro 40,Fixed Load,0,MW,1,,,,,Hydro 40,,,Hydro
Hydro 41,Fixed Load,0,MW,1,,,,,Hydro 41,,,Hydro
Hydro 42,Fixed Load,0,MW,1,,,,,Hydro 42,,,Hydro
Hydro 43,Fixed Load,0,MW,1,,,,,Hydro 43,,,Hydro
